"cv"	"cv"
97.5661138742621	94.7993096086163
191.113561233525	168.115696495794
135.753818456302	123.226082599736
379.169518938658	292.035535196873
315.460256903515	246.613532213496
592.932925883815	379.813002241036
342.801467519951	290.370332866262
741.971522503241	676.647744328724
182.342258412449	162.183626994049
2305.42761230187	1672.46479504007
1149.4544768954	986.151692422961
418.334151682784	300.093241337972
1276.11018360251	1564.04780698575
658.054251939945	609.11405769754
195.175801112997	158.51404912406
4614.10879802373	2557.34170650652
121.587830219887	108.365120455072
261.8322452208	204.867477389129
225.100802330015	172.688273053975
587.048526208299	458.993281594084
258.236615289889	222.656121429469
297.004074497433	320.789027369075
2061.55190102056	4431.70396123207
2305.42761230187	4431.70396123207
190.67974586873	160.006003046438
4614.10879802373	4431.70396123207
62.3663970591614	49.923668226698
581.163040389798	502.197832524598
480.859481197635	413.077111881408
344.264047884696	298.824962767612
108.846654714631	96.2470784149051
134.530268513597	122.091520686193
385.096112277915	306.827510120353
1741.50886157096	1564.04780698575
238.449476563765	227.534140923592
2305.42761230187	4431.70396123207
1881.48773154647	1979.89795812946
452.155203061819	439.85371416925
767.822237619208	995.951928332039
4614.10879802373	3132.88963305097
1741.50886157096	1806.92992525916
899.570036585791	712.109754864676
119.711416495377	115.393605315377
189.929264070563	162.576894015445
351.243482846263	301.149754284524
4614.10879802373	1806.92992525916
368.681608973341	297.542222971229
208.420101031106	159.358163782822
1628.64848514279	1180.49426013109
1741.50886157096	1672.46479504007
447.862011366416	406.488331093461
1149.4544768954	803.115854385039
526.380311123362	471.332898590156
469.983212076082	415.958909716496
1114.87073405343	742.579034672324
2305.42761230187	1806.92992525916
1628.64848514279	1040.02973776556
202.484776504817	202.77283219312
155.371813262533	130.463614321327
204.554303557084	186.138812240941
2662.70480285891	3132.88963305097
1387.9334869942	1225.37086596664
2061.55190102056	3132.88963305097
276.972760965846	240.928890250819
324.562376062917	277.16525169004
454.981357923113	363.121256404745
421.914357727044	327.468475586019
343.329957711994	325.689829277129
1456.02052549979	918.881359769747
353.525246585491	276.492177795893
522.74972482109	381.990039578107
420.420910463416	361.605510686169
565.186140517957	425.09109399095
1187.43236187797	1806.92992525916
330.568188226982	316.195134671577
1881.48773154647	1103.68483913965
