	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Sac3d1	1.91975309701195E-11	-0.386567369699106	0.215	0.264	3.28143396872253E-07
Dhrs7b	5.03075695144065E-15	-0.386580201010993	0.197	0.268	8.5990728570975E-11
Baiap2l2	1.01676449759315E-06	-0.38702294260258	0.274	0.289	0.01737955555736
Zfyve21	7.50166096777945E-07	-0.38731859635733	0.267	0.278	0.012822589092225
Rnf128	1.33565430474441E-07	-0.387486073895737	0.248	0.27	0.0022830339031
Hypk	1.51566693910846E-15	-0.38820148767737	0.213	0.285	2.59072949901809E-11
Ppie	4.71656399424883E-17	-0.388381509008433	0.215	0.289	8.06202283536953E-13
Klf4	7.7114504251106E-07	-0.389669863350586	0.277	0.175	0.013181182211642
Tmod3	7.2668904589416E-22	-0.389682904108174	0.173	0.279	1.24212958614689E-17
Smpdl3a	0.000989202971787	-0.389919638800649	0.269	0.256	1
Ugp2	1.90048236039664E-14	-0.38993321317359	0.186	0.256	3.24849449862598E-10
Gps1	5.9613504848164E-10	-0.389954960545197	0.312	0.328	1.01897363836967E-05
Nptn	4.95068126802839E-15	-0.390280331086701	0.174	0.25	8.46219949144093E-11
Sypl	4.91133990542001E-17	-0.390335723966235	0.788	0.651	8.39495330033442E-13
Trnau1ap	2.17224872114151E-15	-0.391053240110952	0.204	0.276	3.71302473904719E-11
Pcm1	9.88750179671982E-17	-0.391064289749255	0.183	0.264	1.69007068211332E-12
Gstt2	3.87966797644656E-13	-0.391204701033653	0.302	0.34	6.6315164721401E-09
Dpm2	4.60592939341321E-11	-0.391247155154081	0.252	0.294	7.8729151121612E-07
Isca2	9.07982995121021E-14	-0.391465322061732	0.191	0.256	1.55201533356036E-09
Adck5	2.16313069901477E-25	-0.391621564237977	0.132	0.253	3.69743930382595E-21
Pbdc1	6.20467570492017E-15	-0.391633243215841	0.177	0.25	1.060565218242E-10
Nfkbia	2.17777025037097E-05	-0.392229555571031	0.279	0.283	0.372246268895911
Fads2	2.28689858886451E-13	-0.392268585554724	0.23	0.291	3.90899575794611E-09
Nsmce1	3.77515135800183E-19	-0.392529252010064	0.174	0.267	6.45286621623253E-15
Ivns1abp	1.08095357008633E-10	-0.392630389848421	0.642	0.536	1.84767393734857E-06
Huwe1	8.1645046178885E-12	-0.39270908786878	0.241	0.289	1.39555877433568E-07
Tuba4a	0.001054577797188	-0.393107613201172	0.378	0.332	1
Smim26	1.05331611949577E-18	-0.393179897588079	0.162	0.253	1.80043324305412E-14
Ubn1	1.98809555560005E-09	-0.393741082246708	0.252	0.284	3.39825173318717E-05
Ap3s1	7.66199268464296E-05	-0.394226974042906	0.369	0.332	1
Smarcc1	4.18969923394982E-11	-0.394245469386089	0.202	0.258	7.16145290059043E-07
Prorp	2.89817494741827E-09	-0.394254159195144	0.266	0.295	4.95385043762205E-05
Nifk	6.12161183156066E-16	-0.394784362168538	0.185	0.262	1.04636711036866E-11
Ctnnbip1	3.59741595843256E-11	-0.395006531537366	0.212	0.262	6.14906309774877E-07
Slc25a10	6.48332594068099E-19	-0.395811267734027	0.178	0.271	1.1081949030406E-14
Myg1	1.63367652195167E-18	-0.395885130805353	0.164	0.255	2.79244327897198E-14
Suz12	6.67637118869472E-13	-0.396588582668296	0.209	0.27	1.14119212728359E-08
Actn4	7.52554649572675E-10	-0.396596863680106	0.28	0.309	1.28634166251457E-05
Rad21	2.41548683438484E-15	-0.39662717350674	0.175	0.253	4.128791646014E-11
Ugt2b34	4.15345902307937E-10	-0.396668678153403	0.243	0.281	7.09950750814957E-06
Wbp11	1.93798921162506E-17	-0.396733901483113	0.18	0.266	3.31260495943071E-13
Sdhaf4	4.14300961274958E-19	-0.396925637621447	0.164	0.256	7.08164633107285E-15
Kcnk1	0.078530243742538	-0.396989193015794	0.443	0.349	1
Rbck1	1.33200575852232E-11	-0.397122074132722	0.225	0.275	2.27679744304221E-07
Ntan1	1.45770722716664E-17	-0.397180342245981	0.206	0.288	2.49165896339593E-13
Blvrb	3.95149273214616E-05	-0.397838274038142	0.443	0.377	0.675428652705743
Eapp	2.69366726111899E-18	-0.397930373638596	0.2	0.285	4.6042854494307E-14
Shmt1	6.91264262794093E-13	-0.39811806334267	0.194	0.258	1.18157800439394E-08
Ube3a	6.91134374911844E-08	-0.398203332447819	0.256	0.279	0.001181355987037
Rbm7	1.07519976730678E-16	-0.398228760187631	0.171	0.252	1.83783896225747E-12
Iqgap1	1.77220422391396E-07	-0.398244950484662	0.267	0.288	0.003029228679936
Csnk1g2	6.10267914828028E-13	-0.39880126270507	0.222	0.279	1.04313094681555E-08
Thoc3	1.2807822497612E-17	-0.399013333424471	0.172	0.259	2.18924109951681E-13
Rpn2	9.3453433896108E-06	-0.399058100076937	0.69	0.53	0.159739954558617
Cebpz	4.89161507895119E-08	-0.399127163186086	0.291	0.306	0.000836123765445
Acot7	5.06785463992543E-13	-0.399343625395543	0.201	0.265	8.66248393602454E-09
Mpv17l2	3.82734957380825E-11	-0.399386790919522	0.236	0.277	6.54208862651044E-07
Ss18l2	2.04007623541625E-08	-0.39963014145771	0.318	0.322	0.00034871023092
Rrp7a	8.43791978015659E-18	-0.399783629060505	0.183	0.267	1.44229362802217E-13
Mphosph8	2.17660971694343E-08	-0.400030436845462	0.258	0.283	0.000372047898917
Smco4	3.18312586881305E-05	-0.400194095071311	0.409	0.358	0.544091704756214
Aopep	1.19437812916975E-12	-0.400276912894239	0.238	0.292	2.04155053618986E-08
