"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Malat1"	0	-1.28828892621123	0.996	0.99	0
"Dmbt1"	5.09658243066088e-295	0.968429055462928	0.791	0.414	8.71158834872865e-291
"Hspe1"	4.35460644631054e-294	0.615528645342556	0.991	0.895	7.4433287986786e-290
"Ppia"	1.16495731641305e-276	0.441054984583026	1	0.993	1.99126154094482e-272
"Hspd1"	9.8071096923466e-271	0.697647299455671	0.982	0.832	1.6763292597128e-266
"Rps2"	2.57377225359221e-265	0.393908180407222	1	0.995	4.39934891306516e-261
"Eif5a"	4.17909885298596e-235	0.48808470075398	0.994	0.948	7.1433336694089e-231
"Hells"	1.66637976179554e-220	0.67300135457205	0.548	0.253	2.84834292683712e-216
"Dut"	2.05975678672447e-213	0.652736588055546	0.785	0.477	3.52074227554813e-209
"C1qbp"	4.58392762832165e-197	0.583440608112152	0.929	0.716	7.8353074950902e-193
"Ranbp1"	2.3476339719703e-193	0.561144968661037	0.955	0.773	4.01281074828884e-189
"Nme2"	1.05481718131838e-187	0.391409544515111	0.998	0.971	1.80299900802751e-183
"Npm1"	9.38593977625996e-184	0.48169218991301	0.993	0.912	1.60433868595612e-179
"Rpl32"	1.29470694640969e-180	0.293447054704485	1	0.998	2.21304258349808e-176
"Rps18"	1.37997477752267e-175	0.314930209445211	0.999	0.993	2.3587908872195e-171
"Rps17"	1.29216936039772e-174	0.376700299274783	0.998	0.973	2.20870508772783e-170
"Csrp2"	7.12196208076955e-170	0.515554658030342	0.957	0.793	1.21735697846594e-165
"Tomm5"	3.17622206448354e-168	0.530421818824694	0.939	0.788	5.42911637482171e-164
"Ybx1"	1.15117109919486e-167	0.381737868725424	0.996	0.966	1.96769675985377e-163
"Mcm3"	2.6091277323022e-167	0.517595519388856	0.397	0.168	4.45978203282415e-163
"Rpl7a"	7.5245096072558e-167	0.332951964951636	0.999	0.981	1.28616442716823e-162
"Phb2"	1.89173444594194e-166	0.482504921731781	0.972	0.834	3.23354168844855e-162
"Ung"	4.24841490237328e-164	0.429124846569365	0.31	0.11	7.26181559262664e-160
"Atp5g1"	9.82367248380036e-161	0.367110314405206	0.999	0.977	1.67916033765599e-156
"Snrpg"	5.14850964681888e-158	0.440026084418591	0.985	0.887	8.80034753930751e-154
"Rpl27"	8.29274938100684e-157	0.30223128874917	0.999	0.991	1.4174796516955e-152
"Cdt1"	8.56365830975661e-155	0.41897316918095	0.318	0.119	1.4637861148867e-150
"Prap1"	1.24232703829652e-154	0.410863551911596	0.961	0.77	2.12350960656024e-150
"Selenom"	1.11845356547042e-153	-2.28239805303556	0.113	0.377	1.91177267945859e-149
"Krt19"	2.29291035366401e-152	0.309178953815021	0.998	0.915	3.9192716675179e-148
"Pcna"	3.52368079488133e-152	0.552289873034724	0.613	0.357	6.02302758269065e-148
"Pycard"	1.89483820736092e-149	0.398811405845575	0.996	0.898	3.23884694784202e-145
"Mcm6"	4.77600338404766e-149	0.493038353982272	0.424	0.196	8.16362258435267e-145
"Rpl11"	5.68288409538552e-147	0.262856612104182	1	0.997	9.71375378424247e-143
"Rpl14"	2.41466369051933e-144	0.297130816962056	1	0.991	4.1273846462047e-140
"Cox5b"	1.94426493244583e-143	0.351981821754955	0.996	0.962	3.32333204902966e-139
"Mt1"	2.54451451644303e-140	0.469300120226563	0.934	0.751	4.34933866295607e-136
"Snhg4"	2.8376075564739e-139	0.562785573100519	0.556	0.319	4.85032259628083e-135
"Ran"	9.02968283452368e-139	0.422734028505147	0.987	0.869	1.54344368690513e-134
"Rps11"	6.11712260379178e-136	0.271998224498588	1	0.995	1.04559976666613e-131
"Fxyd3"	1.97300390736517e-135	-1.46313004931776	0.236	0.481	3.37245557885928e-131
"Nhp2"	4.31972894846817e-134	0.485485253469616	0.889	0.697	7.38371269161664e-130
"Rpl6"	8.89085751771297e-134	0.257295578588526	0.999	0.997	1.51971427550268e-129
"Gpx1"	3.07796703309592e-133	0.382815383623366	0.97	0.871	5.26116904967086e-129
"Rplp2"	8.12115893699484e-132	0.287898817761594	1	0.99	1.38814969710053e-127
"Rpl27a"	1.16218316646582e-131	0.257113172711995	1	0.996	1.98651968644003e-127
"Mif"	1.85629294713416e-131	0.424283755242336	0.958	0.829	3.17296153453641e-127
"Anp32b"	3.01740849976895e-131	0.450544451452989	0.941	0.78	5.15765634865507e-127
"Nasp"	8.63744022732589e-129	0.518078265362778	0.6	0.369	1.47639765805681e-124
"Rpl8"	8.60635419424035e-128	0.251324315527855	1	0.995	1.4710841224215e-123
"Cox5a"	2.05290686190436e-125	0.318794798199121	0.998	0.96	3.50903369905312e-121
"Rpl15"	4.26510451648483e-123	0.267894657983056	1	0.994	7.29034315002752e-119
"Rpl36"	5.07372734268782e-123	0.254180390439553	1	0.995	8.6725221468563e-119
"Rps27l"	4.44983573004524e-122	0.368903510480324	0.981	0.918	7.60610421336632e-118
"Ptma"	2.17286624647878e-120	0.359494457346755	1	0.986	3.71408027510617e-116
"Ncl"	2.48442968566528e-120	0.458216837983419	0.928	0.781	4.24663566170766e-116
"Rpl31"	1.24520851004988e-117	0.327399843244359	0.994	0.953	2.12843490622826e-113
"Snrpd2"	7.02302534213213e-115	0.398538054398669	0.962	0.841	1.20044572173065e-110
"Mrpl12"	1.83123491508038e-114	0.406661199308779	0.958	0.822	3.1301298403469e-110
"Tipin"	1.66853053212476e-113	0.457244968243293	0.429	0.227	2.85201923856085e-109
"Cyc1"	3.81937995361583e-112	0.378776452941838	0.976	0.864	6.52846615471553e-108
"Rps23"	8.48067494813459e-112	0.266698082196769	0.999	0.989	1.44960176888465e-107
"Snu13"	9.84148849612638e-112	0.438885441181834	0.893	0.737	1.68220562864288e-107
"Slbp"	9.01832750464119e-111	0.470250470571628	0.603	0.389	1.54150272036832e-106
"Psma7"	1.6514684974933e-108	0.349186864620248	0.981	0.911	2.82285510276529e-104
"Dctpp1"	2.05635017542363e-108	0.445073425308655	0.808	0.595	3.51491935485162e-104
"Rpl3"	1.05886610613046e-107	0.258202503077314	0.999	0.987	1.80991983520879e-103
"Mcm4"	1.43380675772612e-107	0.369901448858269	0.291	0.126	2.45080589098126e-103
"Cox4i1"	1.17644461867437e-106	0.250727983024416	1	0.99	2.01089678670009e-102
"Prdx1"	7.07888026583228e-106	0.276610378429693	0.998	0.956	1.20999300383871e-101
"Guca2a"	2.50744905324181e-105	-2.74114295766667	0.152	0.363	4.28598266670622e-101
"Ybx3"	2.53483777857785e-105	0.431213687554605	0.847	0.688	4.33279821492311e-101
"Snrpd1"	4.1438276850457e-105	0.414136092052892	0.899	0.73	7.08304466204861e-101
"Muc2"	5.15574436477962e-105	-3.10888738879416	0.106	0.314	8.81271384271781e-101
"Lig1"	1.14243193017355e-104	0.431423315154995	0.471	0.26	1.95275889824565e-100
"Atp5j2"	1.36460317696784e-104	0.297273086400949	0.997	0.966	2.33251621039112e-100
"Ldha"	4.916623866374e-104	0.333721080248818	0.965	0.842	8.40398517479308e-100
"Uqcr11"	3.03278801345775e-103	0.311146281154099	0.991	0.948	5.18394455140333e-99
"Rfc3"	7.31903760832971e-103	0.4604585817011	0.466	0.268	1.2510430983918e-98
"Nme1"	7.59630658645699e-103	0.365155872673858	0.967	0.873	1.29843668482309e-98
"Cox7b"	1.41898288253578e-102	0.30857976178748	0.99	0.945	2.42546744111841e-98
"Guca2b"	9.18753739254713e-102	-1.12917377796535	0.058	0.259	1.57042576650808e-97
"Snrpf"	4.76316650083458e-101	0.373785567687047	0.918	0.779	8.14168049987654e-97
"Atp5j"	3.68647959081721e-100	0.292238518818371	0.997	0.96	6.30129956458386e-96
"Rpl22"	8.82172285953169e-100	0.261695244526512	0.998	0.984	1.50789708837975e-95
"Mcm5"	1.5219276099574e-98	0.397693303214558	0.339	0.168	2.60143086370018e-94
"Dek"	5.98631757564594e-97	0.394527695667247	0.794	0.568	1.02324126320516e-92
"Naca"	7.60170292666443e-96	0.263722424928831	0.998	0.975	1.29935908125475e-91
"Ppp1r14b"	1.69202324264514e-95	0.343800291616212	0.947	0.846	2.89217532865333e-91
"Mcm7"	2.59656005460532e-94	0.410651468077762	0.449	0.258	4.43830010133688e-90
"Atp5o"	2.44758837820465e-93	0.286649062157696	0.995	0.944	4.1836628148652e-89
"Atp5f1"	3.13832491459556e-93	0.30770001943171	0.986	0.922	5.3643387765182e-89
"Rpl22l1"	8.80953774584279e-93	0.294458729066337	0.988	0.942	1.50581428689691e-88
"Btf3"	1.0797957136488e-92	0.29077003215693	0.993	0.948	1.8456948133399e-88
"Ndufa4"	1.26418746320658e-92	0.270509544826165	0.997	0.969	2.160875630859e-88
"Fbl"	4.17372761061093e-92	0.399400139657616	0.755	0.568	7.13415260481726e-88
"Rpa2"	6.12333775489393e-92	0.414304152791386	0.385	0.209	1.04666212244402e-87
"Tff3"	1.22389615258414e-91	-3.68434174012692	0.612	0.724	2.09200569361207e-87
"Smim14"	2.97369052318135e-91	-0.765899073718802	0.174	0.379	5.08292921127389e-87
"Hnrnpf"	4.57506794003781e-91	0.356556079957123	0.937	0.827	7.82016362990663e-87
"Cox7c"	5.68226395279306e-90	0.255025094475778	0.998	0.978	9.71269377450918e-86
"Rps6"	2.27853892875501e-89	0.271167867140842	0.996	0.969	3.89470659092094e-85
"Snhg3"	2.2956317903297e-89	0.456419834488837	0.548	0.366	3.92392341921056e-85
"Hint1"	3.31681813260934e-89	0.285012077421471	0.993	0.953	5.66943723406914e-85
"Cox6b1"	7.91100319476755e-89	0.265711579033463	0.993	0.963	1.35222777608162e-84
"Orc6"	4.66392368358229e-88	0.409461507300468	0.416	0.238	7.9720447523472e-84
"Ociad2"	1.99484515475052e-87	0.389837871586285	0.847	0.687	3.40978882301507e-83
