"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Chchd7"	3.22224609192472e-64	0.448835406181907	0.709	0.587	5.50778524492692e-60	"7"	"Chchd7"
"Nedd4.1"	4.84608474902265e-64	-0.495144985114347	0.287	0.483	8.28341266150442e-60	"7"	"Nedd4"
"Sec13.1"	6.09898339733049e-64	0.420193231238019	0.618	0.466	1.0424992321057e-59	"7"	"Sec13"
"Cldn15"	8.09594691333537e-64	0.413212127852768	0.788	0.659	1.38384020589642e-59	"7"	"Cldn15"
"Alas1"	3.49432867538669e-63	0.399328650093312	0.396	0.241	5.97285600483847e-59	"7"	"Alas1"
"Ets2.2"	4.71806237335273e-63	-0.468464212455642	0.111	0.291	8.06458401477182e-59	"7"	"Ets2"
"Rbbp4.2"	4.79144587366238e-63	-0.435352996450092	0.144	0.332	8.1900184318511e-59	"7"	"Rbbp4"
"Hsp90aa1.3"	5.19596455483779e-63	-0.494630174054054	0.585	0.721	8.88146221358423e-59	"7"	"Hsp90aa1"
"Ctsh"	5.36034195853455e-63	0.423278482539028	0.557	0.392	9.1624325097231e-59	"7"	"Ctsh"
"Vmp1"	5.4107237236257e-63	0.444286247844287	0.553	0.397	9.2485500607934e-59	"7"	"Vmp1"
"Id3.1"	1.09805801592354e-62	0.372084661497133	0.674	0.484	1.87691056661811e-58	"7"	"Id3"
"Agr2.7"	1.52848020714482e-62	-3.90523897738441	0.526	0.646	2.61263121807264e-58	"7"	"Agr2"
"Fcgbp.7"	3.00453049865417e-62	-3.71427665128549	0.215	0.382	5.13564398134958e-58	"7"	"Fcgbp"
"Map2k2"	3.23937866404245e-62	0.418483992983651	0.707	0.573	5.53706995044776e-58	"7"	"Map2k2"
"Sdhc"	3.93361233098519e-62	0.416118322512249	0.675	0.539	6.72372355735298e-58	"7"	"Sdhc"
"Atp6v0e"	1.38247759431825e-61	0.38700778727679	0.744	0.618	2.36306895196819e-57	"7"	"Atp6v0e"
"Mrpl35.2"	1.88481515488645e-61	0.428531218831664	0.651	0.499	3.22171454424741e-57	"7"	"Mrpl35"
"Hook1.3"	7.73338134664628e-61	-0.497814815977573	0.291	0.475	1.32186687358225e-56	"7"	"Hook1"
"Cebpb.1"	8.4316038974683e-61	0.408942614552207	0.484	0.323	1.44121405419426e-56	"7"	"Cebpb"
"Aco2"	2.06942942761024e-60	0.434958496222563	0.619	0.475	3.53727572061419e-56	"7"	"Aco2"
"Bad.1"	4.2533667648173e-60	0.380660152181843	0.465	0.302	7.2702798111022e-56	"7"	"Bad"
"Ranbp1.5"	8.57657249021295e-60	-0.482094866520993	0.75	0.792	1.4659935357521e-55	"7"	"Ranbp1"
"Cdh17.1"	1.11341502334598e-59	0.407312237503062	0.595	0.433	1.90316029940528e-55	"7"	"Cdh17"
"Acadl.1"	1.31331039914116e-59	0.424618277317324	0.503	0.348	2.24484146525198e-55	"7"	"Acadl"
"Tpm4.2"	1.88332212625623e-59	-0.414307899125438	0.098	0.27	3.21916251040978e-55	"7"	"Tpm4"
"Ppdpf"	2.99040025925183e-59	0.410892223237195	0.719	0.594	5.11149116313916e-55	"7"	"Ppdpf"
"Stard10.7"	3.00283712599998e-59	-0.612702287795907	0.71	0.811	5.13274949947176e-55	"7"	"Stard10"
"Cryl1"	5.31442736638486e-59	0.409746503451647	0.6	0.451	9.08395069736165e-55	"7"	"Cryl1"
"Ier2.4"	5.41068349968594e-59	-0.598202678759159	0.526	0.685	9.24848130601317e-55	"7"	"Ier2"
"Hat1.2"	1.05415137370051e-58	-0.400177483413386	0.114	0.286	1.80186094306628e-54	"7"	"Hat1"
"Timm23.2"	1.1179746356457e-58	0.383423785420447	0.778	0.658	1.9109540447092e-54	"7"	"Timm23"
"Idh3b.1"	1.57797213791037e-58	0.411226737153569	0.722	0.595	2.69722777533019e-54	"7"	"Idh3b"
"Tspan1.7"	7.59940830187048e-58	-0.66278563504357	0.215	0.392	1.29896686103872e-53	"7"	"Tspan1"
"Timm17a"	1.7089488701017e-57	0.401317512190048	0.639	0.498	2.92110630366483e-53	"7"	"Timm17a"
"Eci1.1"	7.67083073713139e-57	0.415429214434309	0.683	0.552	1.31117509789787e-52	"7"	"Eci1"
"Grpel1.2"	9.52208841035607e-57	0.378052193655475	0.793	0.68	1.62761057198216e-52	"7"	"Grpel1"
"Zfyve21"	1.09994699048541e-56	0.404719511103741	0.415	0.267	1.8801393908367e-52	"7"	"Zfyve21"
"Acadvl.1"	1.54129178831491e-56	0.390452279747361	0.505	0.35	2.63453005376667e-52	"7"	"Acadvl"
"Ptov1.2"	2.37391237213556e-56	-0.477921085211744	0.222	0.403	4.05772841769132e-52	"7"	"Ptov1"
"Rfc1.1"	7.72254462043891e-56	-0.407651918277864	0.138	0.314	1.32001455197162e-51	"7"	"Rfc1"
"Hmgb3.3"	1.25256135108424e-55	-0.474149285763158	0.386	0.547	2.1410031174083e-51	"7"	"Hmgb3"
"Ndfip1"	2.82121241127511e-55	0.371141200170673	0.528	0.379	4.82229837459254e-51	"7"	"Ndfip1"
"Psmd8.1"	3.40412274399901e-55	0.385021503598255	0.777	0.668	5.81866700631751e-51	"7"	"Psmd8"
"Trmt112.1"	5.23936454200647e-55	-0.433532629762319	0.395	0.568	8.95564581165166e-51	"7"	"Trmt112"
"Ndufaf8.1"	1.34915057174404e-54	0.381442879481888	0.685	0.555	2.30610307228209e-50	"7"	"Ndufaf8"
"Nfu1.1"	4.25892867629645e-54	0.40192078035395	0.561	0.421	7.27978678639353e-50	"7"	"Nfu1"
"Mkrn1"	5.84116051661122e-54	0.411674454632492	0.572	0.427	9.98429567104356e-50	"7"	"Mkrn1"
"Lad1.1"	8.12207189577986e-54	0.381646166184863	0.447	0.296	1.38830574914565e-49	"7"	"Lad1"
"Smarcc1"	9.94035115767711e-54	-0.391005205768979	0.106	0.267	1.69910422338175e-49	"7"	"Smarcc1"
"Cks2.5"	1.2093625920075e-53	-0.654944790364763	0.351	0.488	2.06716347851842e-49	"7"	"Cks2"
"Decr1"	1.76322208104401e-53	0.400377845041957	0.488	0.339	3.01387550312852e-49	"7"	"Decr1"
"Plin3"	4.60342962486546e-53	0.394020977154099	0.413	0.268	7.86864225778253e-49	"7"	"Plin3"
"Nudc.4"	8.91558942189557e-53	-0.447492547245516	0.49	0.626	1.52394169988461e-48	"7"	"Nudc"
"Mlf2.1"	2.35370982901246e-52	0.373557342505039	0.65	0.511	4.023196210731e-48	"7"	"Mlf2"
"Bak1"	2.62101937215393e-52	0.379441385867398	0.443	0.296	4.48010841282271e-48	"7"	"Bak1"
"Xpnpep1"	2.9878513358246e-52	0.38705404389932	0.41	0.265	5.107134288325e-48	"7"	"Xpnpep1"
"Slc22a1"	3.50498176574315e-52	0.383023006120871	0.306	0.177	5.99106533218477e-48	"7"	"Slc22a1"
"Gar1.2"	3.93108430179194e-52	-0.402281649759771	0.253	0.429	6.71940239705297e-48	"7"	"Gar1"
"Spink4.7"	5.98451541870087e-52	-3.88182056961382	0.848	0.873	1.02293322051854e-47	"7"	"Spink4"
"Gm47283.1"	1.81604165036456e-51	-0.447231730249499	0.113	0.27	3.10415999296815e-47	"7"	"Gm47283"
"Srsf7.3"	2.16833370177706e-51	-0.425481262559124	0.602	0.707	3.70633279644753e-47	"7"	"Srsf7"
"Zfp36l2.2"	2.02333157107349e-50	-0.432435024939715	0.28	0.452	3.45848065443591e-46	"7"	"Zfp36l2"
"Gstp1"	2.29760610304883e-50	0.374506037106774	0.513	0.373	3.92729811194137e-46	"7"	"Gstp1"
"Nucks1.3"	3.06093470013717e-50	-0.473437496585866	0.527	0.639	5.23205568294447e-46	"7"	"Nucks1"
"Nop56"	5.85742818846049e-50	-0.37581307530579	0.15	0.316	1.00121020025355e-45	"7"	"Nop56"
"Dera.1"	7.22365099327415e-50	0.379613874973178	0.522	0.379	1.23473866428035e-45	"7"	"Dera"
"Plgrkt"	1.11414060354684e-49	0.390671674529322	0.593	0.456	1.90440053364261e-45	"7"	"Plgrkt"
"Tmed3.7"	1.20124086594327e-49	-0.601178803433789	0.262	0.423	2.05328101215683e-45	"7"	"Tmed3"
"Ostf1"	1.39617655416788e-49	0.397655901936085	0.484	0.347	2.38648458403916e-45	"7"	"Ostf1"
"Tmem176b.2"	1.92603721053299e-49	-0.578863257234659	0.533	0.68	3.29217540396404e-45	"7"	"Tmem176b"
"Serinc3.1"	4.08004898656087e-49	-0.437861455579621	0.382	0.549	6.9740277327285e-45	"7"	"Serinc3"
"Birc5.5"	6.06274423681111e-49	-0.720245417554578	0.278	0.417	1.03630487239812e-44	"7"	"Birc5"
"Pcna.3"	7.92526848274836e-49	-0.458995875707726	0.229	0.39	1.35466614175618e-44	"7"	"Pcna"
"Rfc2.2"	8.57736281991645e-49	-0.397023223629714	0.2	0.368	1.46612862680832e-44	"7"	"Rfc2"
"G3bp1.1"	2.01132102987114e-48	-0.409718195802299	0.362	0.522	3.43795103635873e-44	"7"	"G3bp1"
"Hmgb1.4"	2.7693495759784e-48	-0.43811151204088	0.886	0.885	4.73364923021988e-44	"7"	"Hmgb1"
"Gipc2.2"	3.52342950085601e-48	0.38327793674026	0.557	0.415	6.02259804581318e-44	"7"	"Gipc2"
"Abhd17a"	2.70435042662891e-47	0.390645905703518	0.652	0.535	4.62254618423679e-43	"7"	"Abhd17a"
"Sypl.1"	3.23658811027064e-47	-0.397750122820753	0.528	0.666	5.5323000568856e-43	"7"	"Sypl"
"Slc25a11.1"	5.04069774070684e-47	0.376482016307131	0.573	0.438	8.6160646481902e-43	"7"	"Slc25a11"
"Slbp.3"	5.34248979173174e-47	-0.439803250844124	0.261	0.419	9.13191780100706e-43	"7"	"Slbp"
"Hist1h2ae.5"	6.84019562449043e-47	-0.435832614066625	0.182	0.339	1.16919463809415e-42	"7"	"Hist1h2ae"
"Hist1h1e.5"	2.44142455661246e-46	-0.513002184018557	0.238	0.388	4.17312699461768e-42	"7"	"Hist1h1e"
"Bub3.3"	5.06133308661623e-46	-0.453895185165848	0.233	0.386	8.65133664495313e-42	"7"	"Bub3"
"Atp1a1"	6.47207274088678e-46	0.375166091747532	0.693	0.58	1.10627139359978e-41	"7"	"Atp1a1"
"Fus"	9.77884734337872e-45	-0.410519457665712	0.293	0.455	1.67149837640373e-40	"7"	"Fus"
"Apex1.2"	2.49713935219025e-44	-0.4093946534014	0.288	0.442	4.26836029469879e-40	"7"	"Apex1"
"Nop58.1"	2.97488754567299e-44	-0.380905787112816	0.283	0.444	5.08497528181885e-40	"7"	"Nop58"
"Mif.5"	5.30734194551203e-44	-0.402597453129798	0.838	0.84	9.07183958746371e-40	"7"	"Mif"
"H2-Ab1.2"	1.08183760934284e-42	-0.487286707585228	0.212	0.369	1.84918502564972e-38	"7"	"H2-Ab1"
"2210407C18Rik.4"	4.07610239970556e-42	-0.467838526685907	0.287	0.45	6.96728183181671e-38	"7"	"2210407C18Rik"
"Ang.6"	7.79023399522789e-42	-0.439036030910863	0.123	0.26	1.3315846968043e-37	"7"	"Ang"
"Nhp2.4"	1.12049363504244e-41	-0.397624870085127	0.64	0.719	1.91525977037804e-37	"7"	"Nhp2"
"AW112010.7"	1.39721331287944e-40	-0.819696948582025	0.15	0.286	2.38825671570483e-36	"7"	"AW112010"
"Klk1.7"	3.51603585696001e-38	-1.20910452283946	0.229	0.354	6.00996009030174e-34	"7"	"Klk1"
"Smim6.7"	1.57551750777011e-36	-0.782604436955222	0.333	0.45	2.69303207603146e-32	"7"	"Smim6"
"Lsm2.4"	1.68729122659987e-36	-0.373214033458054	0.414	0.539	2.88408689362716e-32	"7"	"Lsm2"
"Tmed9.2"	4.40706593352303e-36	-0.379103852913901	0.411	0.556	7.53299780017092e-32	"7"	"Tmed9"
"H2-Aa.3"	7.04222483124479e-36	-0.511023096707399	0.122	0.251	1.20372749040467e-31	"7"	"H2-Aa"
"H2-Eb1.3"	7.88616240122193e-36	-0.523009698817965	0.177	0.314	1.34798173924086e-31	"7"	"H2-Eb1"
"Krt7.6"	2.04997619504535e-35	-0.552053468087015	0.372	0.501	3.50402431019102e-31	"7"	"Krt7"
"Lyz1.6"	2.72112485438048e-35	-3.02454911292858	0.363	0.486	4.65121871359255e-31	"7"	"Lyz1"
"Itln1.6"	1.26219084657745e-34	-3.01417658524817	0.382	0.497	2.15746281405483e-30	"7"	"Itln1"
"Herpud1.5"	1.97696893329046e-34	-0.384148998807439	0.18	0.314	3.37923299767338e-30	"7"	"Herpud1"
"Jund.5"	3.72019205441103e-34	-0.412501115870579	0.67	0.767	6.35892427860477e-30	"7"	"Jund"
"Sh3bgrl3.7"	4.79065515765051e-33	-0.54452746323502	0.659	0.733	8.18866686097202e-29	"7"	"Sh3bgrl3"
"Cd74.4"	2.70615795276936e-31	-0.674704058235196	0.475	0.591	4.62563578866867e-27	"7"	"Cd74"
"Slc50a1.3"	2.39700506674318e-30	-0.40283172435057	0.274	0.4	4.09720076058412e-26	"7"	"Slc50a1"
"Cenpa.6"	4.70531405128751e-29	-0.412323337171614	0.19	0.306	8.04279330786574e-25	"7"	"Cenpa"
"Reg3b.5"	2.00180696699694e-28	0.551349316291316	0.362	0.255	3.42168864868787e-24	"7"	"Reg3b"
"Tmsb10.7"	1.52022275478893e-24	-0.749984855065367	0.782	0.812	2.59851675476072e-20	"7"	"Tmsb10"
"Sec11c.5"	1.78797453374866e-23	-0.416630711697837	0.671	0.738	3.05618487053658e-19	"7"	"Sec11c"
"Tpd52.7"	8.40506546793891e-18	-0.387767950093125	0.642	0.707	1.4366778404348e-13	"7"	"Tpd52"
"Tubb4b.5"	1.3902921559261e-17	-0.454599857440534	0.789	0.763	2.37642638212447e-13	"7"	"Tubb4b"
"Gm42418.5"	2.87096296243068e-14	-0.46061927717316	0.975	0.983	4.90733699168277e-10	"7"	"Gm42418"
"Defa24.6"	1.05713848991883e-12	-2.873859257847	0.997	0.997	1.80696682081825e-08	"7"	"Defa24"
"Defa17.6"	4.38923990793479e-11	-1.09024671220696	0.197	0.258	7.50252777463293e-07	"7"	"Defa17"
"Zg16.7"	5.4093122593285e-10	-4.61284397788998	0.752	0.773	9.2461374448702e-06	"7"	"Zg16"
"Smim14.7"	8.66208374968686e-10	-0.41510526169491	0.315	0.365	1.48060997533398e-05	"7"	"Smim14"
"Neat1.7"	1.08899462034002e-08	-0.412669919174326	0.206	0.257	0.00018614185045472	"7"	"Neat1"
"AY761184.7"	0.000121907801252341	-2.38203201630337	0.858	0.879	1	"7"	"AY761184"
"Defa29.6"	0.000289586539033423	-1.84700939057836	0.487	0.526	1	"7"	"Defa29"
"Defa22.6"	0.000898517224581358	-1.90077046569841	0.466	0.496	1	"7"	"Defa22"
"Defa30.7"	0.0030020521358844	-2.53007552112141	0.952	0.957	1	"7"	"Defa30"
"Gm14851.6"	0.00354481881702568	-2.32982753183567	0.839	0.854	1	"7"	"Gm14851"
"Defa30.8"	0	6.74242314594943	1	0.955	0	"8"	"Defa30"
"Gm14851.7"	0	6.56506395644784	0.984	0.847	0	"8"	"Gm14851"
"AY761184.8"	0	6.46203252765612	1	0.872	0	"8"	"AY761184"
"Lyz1.7"	0	6.23261876966497	0.994	0.457	0	"8"	"Lyz1"
"Defa24.7"	0	6.00271081811171	1	0.997	0	"8"	"Defa24"
"Defa22.7"	0	6.00081982072155	0.937	0.476	0	"8"	"Defa22"
"Defa21.7"	0	5.96264221122479	0.931	0.499	0	"8"	"Defa21"
"Defa29.7"	0	5.95299089474515	0.975	0.505	0	"8"	"Defa29"
"Itln1.7"	0	5.61291497929618	0.997	0.468	0	"8"	"Itln1"
"Defa36"	0	5.00153349314589	0.974	0.101	0	"8"	"Defa36"
"Defa26"	0	4.43380693824803	0.978	0.098	0	"8"	"Defa26"
"Defa23"	0	4.26603961165807	0.903	0.063	0	"8"	"Defa23"
"Ang4"	0	4.25666677242949	0.911	0.116	0	"8"	"Ang4"
"Mptx2"	0	4.25254790390375	0.744	0.076	0	"8"	"Mptx2"
"Defa17.7"	0	4.13987763029879	0.983	0.224	0	"8"	"Defa17"
"Clps.2"	0	4.11100304456975	0.967	0.158	0	"8"	"Clps"
"Defa5"	0	3.67368003153711	0.869	0.048	0	"8"	"Defa5"
"Gm15292"	0	3.67088803724847	0.875	0.059	0	"8"	"Gm15292"
"Gm15293"	0	3.62435833406571	0.855	0.047	0	"8"	"Gm15293"
"Gm7861"	0	3.38485505758511	0.946	0.058	0	"8"	"Gm7861"
"Defa3"	0	3.32359179264498	0.968	0.072	0	"8"	"Defa3"
"Mmp7.2"	0	3.05032447354229	0.963	0.158	0	"8"	"Mmp7"
"Defa34"	0	3.02039982398617	0.744	0.02	0	"8"	"Defa34"
"Pnliprp2"	0	2.84264510737356	0.893	0.036	0	"8"	"Pnliprp2"
"Rnase1.2"	0	2.06574199481299	0.868	0.145	0	"8"	"Rnase1"
"Reg4.1"	0	2.00432715301423	0.951	0.09	0	"8"	"Reg4"
"Nupr1.1"	0	1.66410384570989	0.865	0.1	0	"8"	"Nupr1"
"Guca2b.7"	0	1.62835593019446	0.935	0.214	0	"8"	"Guca2b"
"Defa27"	0	1.57650743706732	0.612	0.007	0	"8"	"Defa27"
"Defa35"	0	1.24620732316393	0.573	0.005	0	"8"	"Defa35"
"Spink4.8"	0	1.22254557140734	1	0.866	0	"8"	"Spink4"
"Ccl6.2"	0	1.19185991710235	0.915	0.179	0	"8"	"Ccl6"
"Bambi"	0	0.758532390967545	0.608	0.033	0	"8"	"Bambi"
"Tmed6"	0	0.755806119850709	0.705	0.086	0	"8"	"Tmed6"
"Tent5c"	0	0.67119625327615	0.586	0.028	0	"8"	"Tent5c"
"Habp2"	0	0.634249131591096	0.587	0.012	0	"8"	"Habp2"
"Gm7849"	0	0.60837928207222	0.564	0.001	0	"8"	"Gm7849"
"Defa20"	0	0.582134446627611	0.306	0.004	0	"8"	"Defa20"
"Apoc2"	0	0.578323718535835	0.619	0.082	0	"8"	"Apoc2"
"Defa28"	0	0.510815024229086	0.472	0.003	0	"8"	"Defa28"
"Gadd45g"	0	0.499059652859294	0.606	0.096	0	"8"	"Gadd45g"
"Samd5"	0	0.492764731756247	0.386	0.004	0	"8"	"Samd5"
"Ramp1.2"	0	0.398264588654684	0.739	0.135	0	"8"	"Ramp1"
"Lbh"	0	0.385752137648819	0.49	0.076	0	"8"	"Lbh"
"Serf2"	0	-1.11699747515874	0.979	0.985	0	"8"	"Serf2"
"Gm10076"	0	-1.16531164513442	0.948	0.97	0	"8"	"Gm10076"
"mt-Co2"	0	-1.2425385949577	0.989	0.994	0	"8"	"mt-Co2"
"mt-Atp6"	0	-1.25544913032634	0.989	0.994	0	"8"	"mt-Atp6"
"Ftl1"	0	-1.29189630642717	0.963	0.985	0	"8"	"Ftl1"
"Rpl41"	0	-1.31442392401644	0.998	0.999	0	"8"	"Rpl41"
"Bsg"	0	-1.32393801917438	0.889	0.935	0	"8"	"Bsg"
"Ndufa7.1"	0	-1.3635329494337	0.794	0.921	0	"8"	"Ndufa7"
"Eif1"	0	-1.36650942179236	0.948	0.977	0	"8"	"Eif1"
"mt-Cytb.1"	0	-1.37737223740679	0.979	0.985	0	"8"	"mt-Cytb"
"Atp5e.1"	0	-1.38523577149731	0.948	0.98	0	"8"	"Atp5e"
"Elob.1"	0	-1.38975453350166	0.877	0.948	0	"8"	"Elob"
"Gng5"	0	-1.39944198079083	0.863	0.937	0	"8"	"Gng5"
"Rpl35.2"	0	-1.40442845206798	0.922	0.972	0	"8"	"Rpl35"
"Prdx2.1"	0	-1.40700388413238	0.739	0.903	0	"8"	"Prdx2"
"Ndufb11.2"	0	-1.40874663879926	0.776	0.905	0	"8"	"Ndufb11"
"Taldo1.1"	0	-1.41713284695225	0.812	0.911	0	"8"	"Taldo1"
"Uqcrq.3"	0	-1.42176481913716	0.938	0.969	0	"8"	"Uqcrq"
"Rpl13a.2"	0	-1.44590903285962	0.969	0.988	0	"8"	"Rpl13a"
"mt-Co3"	0	-1.44768699149731	0.997	0.997	0	"8"	"mt-Co3"
"Rpl36al"	0	-1.46200898687723	0.965	0.98	0	"8"	"Rpl36al"
"Ndufb8.3"	0	-1.4661345814505	0.797	0.91	0	"8"	"Ndufb8"
"Nme2.2"	0	-1.47315622877394	0.947	0.974	0	"8"	"Nme2"
"Rpl36.2"	0	-1.47750484631083	0.987	0.996	0	"8"	"Rpl36"
"Rpl38.1"	0	-1.47836320911197	0.991	0.996	0	"8"	"Rpl38"
"Sem1"	0	-1.48110073899377	0.752	0.913	0	"8"	"Sem1"
"Ndufa13.1"	0	-1.48525067152403	0.84	0.942	0	"8"	"Ndufa13"
"Ubb"	0	-1.48910700890341	0.976	0.991	0	"8"	"Ubb"
"Rpl22l1.1"	0	-1.49571428153821	0.833	0.951	0	"8"	"Rpl22l1"
"Rpl31.1"	0	-1.50246612936434	0.865	0.96	0	"8"	"Rpl31"
"Eif3h.2"	0	-1.50409250897134	0.696	0.896	0	"8"	"Eif3h"
"Oaz1.1"	0	-1.51145668877198	0.92	0.97	0	"8"	"Oaz1"
"Rpl36a.2"	0	-1.51292272986358	0.92	0.974	0	"8"	"Rpl36a"
"Uqcr11.3"	0	-1.516075831603	0.908	0.953	0	"8"	"Uqcr11"
"Atp5a1.2"	0	-1.52807038678582	0.798	0.929	0	"8"	"Atp5a1"
"Serbp1.2"	0	-1.53006926740686	0.771	0.907	0	"8"	"Serbp1"
"Atp5md.2"	0	-1.53139193584691	0.785	0.914	0	"8"	"Atp5md"
"Rpl5.2"	0	-1.53491513758176	0.93	0.977	0	"8"	"Rpl5"
"Uqcr10.2"	0	-1.53592379754127	0.85	0.957	0	"8"	"Uqcr10"
"Atp5mpl.2"	0	-1.56050032190809	0.784	0.92	0	"8"	"Atp5mpl"
"Eif5a.3"	0	-1.5605855434665	0.901	0.954	0	"8"	"Eif5a"
"Rps6.1"	0	-1.56546947819087	0.918	0.974	0	"8"	"Rps6"
"Dstn.5"	0	-1.56632002544199	0.759	0.902	0	"8"	"Dstn"
"Myl6.4"	0	-1.5681775113341	0.904	0.968	0	"8"	"Myl6"
"Rps15"	0	-1.57045938392772	0.967	0.985	0	"8"	"Rps15"
"Psma7.1"	0	-1.57645761842595	0.765	0.923	0	"8"	"Psma7"
"Rpl37a.2"	0	-1.57836736766996	0.976	0.996	0	"8"	"Rpl37a"
"Hnrnpa2b1.1"	0	-1.58202128542846	0.767	0.903	0	"8"	"Hnrnpa2b1"
"Atp5g3.3"	0	-1.58401908215575	0.784	0.923	0	"8"	"Atp5g3"
"Rpl37.2"	0	-1.58624415845664	0.985	0.996	0	"8"	"Rpl37"
"Rps27.1"	0	-1.59089610144538	0.924	0.984	0	"8"	"Rps27"
"Rps14.2"	0	-1.59705090152421	0.995	0.997	0	"8"	"Rps14"
"Rpl32.2"	0	-1.59960371627911	0.999	0.999	0	"8"	"Rpl32"
"Rpl18a.2"	0	-1.60167252011042	0.988	0.997	0	"8"	"Rpl18a"
"Rps17.2"	0	-1.60647588813453	0.929	0.977	0	"8"	"Rps17"
"Rack1.2"	0	-1.61173087154245	0.95	0.985	0	"8"	"Rack1"
"Ndufab1.3"	0	-1.61515123860565	0.717	0.894	0	"8"	"Ndufab1"
"H3f3b.3"	0	-1.61555337419879	0.957	0.987	0	"8"	"H3f3b"
"Rps21.2"	0	-1.61566513501878	0.983	0.996	0	"8"	"Rps21"
"Rpl10"	0	-1.61660691246836	0.952	0.983	0	"8"	"Rpl10"
"Rps24.2"	0	-1.62049689984127	0.996	0.999	0	"8"	"Rps24"
"Atp5k.4"	0	-1.62100065221574	0.788	0.926	0	"8"	"Atp5k"
"Ndufb9.3"	0	-1.62199990258072	0.833	0.943	0	"8"	"Ndufb9"
"Eif3f.2"	0	-1.62363713652614	0.782	0.951	0	"8"	"Eif3f"
"Rpl34.2"	0	-1.62399990355843	0.984	0.997	0	"8"	"Rpl34"
"Rplp2.2"	0	-1.62666444927945	0.97	0.991	0	"8"	"Rplp2"
"Rps28.2"	0	-1.63345390263393	0.975	0.994	0	"8"	"Rps28"
"Rpl39.2"	0	-1.6494060288134	0.97	0.991	0	"8"	"Rpl39"
"Tspan8.2"	0	-1.65140272416631	0.753	0.896	0	"8"	"Tspan8"
"Atp5c1.3"	0	-1.65255209282327	0.796	0.936	0	"8"	"Atp5c1"
"Fau.1"	0	-1.65585424632182	0.992	0.998	0	"8"	"Fau"
"Mdh2.5"	0	-1.65744635231903	0.78	0.911	0	"8"	"Mdh2"
"Gapdh.4"	0	-1.65852282831548	0.761	0.92	0	"8"	"Gapdh"
"Tpt1.1"	0	-1.66416505412722	0.985	0.997	0	"8"	"Tpt1"
"Cox6a1.3"	0	-1.66488661611848	0.69	0.898	0	"8"	"Cox6a1"
"Ndufa4.3"	0	-1.66601868004595	0.907	0.974	0	"8"	"Ndufa4"
"Eef1b2.3"	0	-1.66625584767695	0.911	0.98	0	"8"	"Eef1b2"
"Rpl29.1"	0	-1.66729368553533	0.975	0.993	0	"8"	"Rpl29"
"Rps23.2"	0	-1.67008682589429	0.973	0.991	0	"8"	"Rps23"
"Rpl35a.2"	0	-1.67157433040159	0.985	0.997	0	"8"	"Rpl35a"
"Atp5b.2"	0	-1.67157673703615	0.848	0.954	0	"8"	"Atp5b"
"Rpl18.2"	0	-1.6739639009427	0.995	0.998	0	"8"	"Rpl18"
"Atp5o.3"	0	-1.67505894470944	0.848	0.952	0	"8"	"Atp5o"
"Rpl11.2"	0	-1.67520221790635	0.992	0.997	0	"8"	"Rpl11"
"Rpl24.2"	0	-1.67576039359212	0.985	0.993	0	"8"	"Rpl24"
"Rpl27.1"	0	-1.67603247605313	0.973	0.992	0	"8"	"Rpl27"
"Rpl22.2"	0	-1.67631365723588	0.932	0.987	0	"8"	"Rpl22"
"Rps20.2"	0	-1.67861321949504	0.996	0.999	0	"8"	"Rps20"
"Atp5j.2"	0	-1.68078736862866	0.884	0.966	0	"8"	"Atp5j"
"Atp5g2.1"	0	-1.68123145307675	0.854	0.964	0	"8"	"Atp5g2"
"Hint1.3"	0	-1.68283985276735	0.884	0.96	0	"8"	"Hint1"
"Rpl14.2"	0	-1.68402894659813	0.964	0.993	0	"8"	"Rpl14"
"Uqcrb.3"	0	-1.68684271425108	0.826	0.945	0	"8"	"Uqcrb"
"Rpsa.3"	0	-1.68728292889159	0.991	0.997	0	"8"	"Rpsa"
"Rpl9.2"	0	-1.68842803293866	0.988	0.997	0	"8"	"Rpl9"
"Rps29.2"	0	-1.68918189117059	0.99	0.997	0	"8"	"Rps29"
"Rps19.2"	0	-1.69405966547377	0.977	0.992	0	"8"	"Rps19"
"Rpl30.2"	0	-1.69678212540388	0.989	0.997	0	"8"	"Rpl30"
"Rpl19.2"	0	-1.69852439528792	0.99	0.998	0	"8"	"Rpl19"
"Rps16.2"	0	-1.70068741777751	0.992	0.997	0	"8"	"Rps16"
"Rps13.2"	0	-1.70823417554933	0.98	0.996	0	"8"	"Rps13"
"Rpl13.2"	0	-1.70941638950687	0.997	0.999	0	"8"	"Rpl13"
"Rpl21.2"	0	-1.71088735009235	0.988	0.997	0	"8"	"Rpl21"
"Atp5j2.3"	0	-1.71432802153605	0.893	0.972	0	"8"	"Atp5j2"
"Uqcrh.2"	0	-1.71601955356934	0.9	0.978	0	"8"	"Uqcrh"
"Atp5l.2"	0	-1.71771730502078	0.849	0.962	0	"8"	"Atp5l"
"Rps27a.2"	0	-1.71805713975047	0.997	0.999	0	"8"	"Rps27a"
"Eef1a1.1"	0	-1.7206852732991	0.987	0.997	0	"8"	"Eef1a1"
"Btf3.1"	0	-1.7210873714186	0.819	0.957	0	"8"	"Btf3"
"Naca.2"	0	-1.7233671672408	0.919	0.979	0	"8"	"Naca"
"Rps25.1"	0	-1.72843121307184	0.921	0.98	0	"8"	"Rps25"
