"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Rpl19"	0	0.413513130696659	0.999	0.998	0	"0"	"Rpl19"
"Rpl11"	0	0.407145053897739	0.998	0.997	0	"0"	"Rpl11"
"Rpl7a"	0	0.404897732650226	0.99	0.981	0	"0"	"Rpl7a"
"Rps29"	0	0.393070662969808	0.997	0.996	0	"0"	"Rps29"
"Rpl38"	0	0.392995033132603	0.995	0.996	0	"0"	"Rpl38"
"Tpt1"	0	0.376514740539869	0.996	0.996	0	"0"	"Tpt1"
"Rplp2"	0	0.370248894273379	0.993	0.99	0	"0"	"Rplp2"
"Txn1"	0	-0.556198321829387	0.944	0.969	0	"0"	"Txn1"
"Slc35b1"	0	-0.692945186111499	0.107	0.436	0	"0"	"Slc35b1"
"Cycs"	0	-0.736581799114481	0.572	0.818	0	"0"	"Cycs"
"H2afz"	0	-0.792014118266729	0.922	0.955	0	"0"	"H2afz"
"Spc24"	0	-0.828486060661033	0.092	0.434	0	"0"	"Spc24"
"Ldha"	0	-0.835100958610515	0.708	0.881	0	"0"	"Ldha"
"Cdca3"	0	-0.873325459320991	0.086	0.419	0	"0"	"Cdca3"
"Anxa13"	0	-0.898913159448514	0.051	0.391	0	"0"	"Anxa13"
"Fdps"	0	-0.918055598281603	0.23	0.62	0	"0"	"Fdps"
"Rbp7"	0	-0.925872030098582	0.037	0.335	0	"0"	"Rbp7"
"Phgr1"	0	-0.943080628608701	0.848	0.94	0	"0"	"Phgr1"
"Dynll1"	0	-0.960514117195726	0.382	0.741	0	"0"	"Dynll1"
"Krt8"	0	-0.999571705624746	0.953	0.987	0	"0"	"Krt8"
"Tm4sf5"	0	-1.0075025191734	0.461	0.762	0	"0"	"Tm4sf5"
"Mgst3"	0	-1.01721630810734	0.68	0.869	0	"0"	"Mgst3"
"Hspa5"	0	-1.0187125694706	0.431	0.761	0	"0"	"Hspa5"
"Manf"	0	-1.07892265653224	0.396	0.763	0	"0"	"Manf"
"Anxa2"	0	-1.08994161832891	0.138	0.523	0	"0"	"Anxa2"
"H2afx"	0	-1.14282486436008	0.162	0.5	0	"0"	"H2afx"
"Lgals2"	0	-1.19590202260394	0.996	0.995	0	"0"	"Lgals2"
"Crip1"	0	-1.25865360707017	0.807	0.951	0	"0"	"Crip1"
"Pclaf"	0	-1.2936350009421	0.091	0.454	0	"0"	"Pclaf"
"Dmbt1"	0	-1.32592897622128	0.147	0.504	0	"0"	"Dmbt1"
"Birc5"	0	-1.41474691654475	0.066	0.473	0	"0"	"Birc5"
"Hmgb2"	0	-1.42419087391266	0.548	0.734	0	"0"	"Hmgb2"
"Fabp2"	0	-1.63680613459037	0.673	0.89	0	"0"	"Fabp2"
"Tubb4b"	0	-1.64373758839374	0.445	0.827	0	"0"	"Tubb4b"
"Ube2c"	0	-1.68048119231881	0.148	0.468	0	"0"	"Ube2c"
"Selenom"	0	-2.34654258236819	0.087	0.407	0	"0"	"Selenom"
"Eif3f"	8.3232320021851e-308	0.485140932098515	0.96	0.941	1.4226900461335e-303	"0"	"Eif3f"
"Rpl13a"	1.19990938507292e-307	0.392223223039571	0.991	0.987	2.05100511190515e-303	"0"	"Rpl13a"
"Cdca8"	6.63125114406635e-306	-0.802678136159344	0.076	0.379	1.13347975805526e-301	"0"	"Cdca8"
"Cenpa"	5.24037059058284e-305	-0.909265531418139	0.053	0.346	8.95736545048326e-301	"0"	"Cenpa"
"Rpl35"	1.57716412984213e-302	0.41533474622245	0.981	0.968	2.69584664713915e-298	"0"	"Rpl35"
"Smim6"	6.56379716524376e-300	-1.09995885246367	0.176	0.494	1.12194984945512e-295	"0"	"Smim6"
"Pdgfa"	1.21770196691226e-293	1.00216005471873	0.412	0.196	2.08141797204312e-289	"0"	"Pdgfa"
"Smdt1"	2.73006334860101e-290	-0.59091200816658	0.725	0.906	4.66649728176371e-286	"0"	"Smdt1"
"Serpinb6a"	2.53528363829785e-289	-0.811859968974483	0.314	0.633	4.33356032294252e-285	"0"	"Serpinb6a"
"Rbp2"	1.11714973714184e-285	-2.94610152126163	0.137	0.429	1.90954404569654e-281	"0"	"Rbp2"
"Calr"	1.19314371158735e-284	-0.893312863913205	0.398	0.717	2.03944054621626e-280	"0"	"Calr"
"Mdh2"	8.00878929861252e-284	-0.727971308189971	0.803	0.926	1.36894235481184e-279	"0"	"Mdh2"
"St3gal4"	3.88680551625404e-283	-0.966733598263249	0.017	0.278	6.64371666893304e-279	"0"	"St3gal4"
"P4hb"	2.26424495091059e-281	-0.821394115208875	0.289	0.608	3.87027389459148e-277	"0"	"P4hb"
"Top2a"	5.85392852065278e-281	-0.954815033627328	0.081	0.363	1.00061200203518e-276	"0"	"Top2a"
"Ostc"	1.60724106060842e-279	-0.759920100027839	0.424	0.73	2.74725714489797e-275	"0"	"Ostc"
"Hsp90b1"	1.71811319464071e-278	-0.789393696330049	0.405	0.723	2.93677088359936e-274	"0"	"Hsp90b1"
"Arg2"	4.77251900678764e-278	-1.37370719156695	0.084	0.361	8.15766673830211e-274	"0"	"Arg2"
"Cdk2ap2"	6.65382074802561e-273	-0.639851527290426	0.27	0.596	1.13733758046002e-268	"0"	"Cdk2ap2"
"Carhsp1"	9.37857886537815e-273	-0.606746960501522	0.297	0.635	1.60308048545909e-268	"0"	"Carhsp1"
"Pabpc1"	2.66092714314591e-271	0.617555836608735	0.865	0.813	4.5483227657793e-267	"0"	"Pabpc1"
"Ube2s"	7.49766568295018e-270	-0.833645016176925	0.475	0.719	1.28157599518667e-265	"0"	"Ube2s"
"Sec61g"	8.92834659742367e-269	-0.569412048964594	0.804	0.938	1.52612228389763e-264	"0"	"Sec61g"
"Pbk"	1.09004746926724e-268	-0.628538278074455	0.025	0.283	1.8632181392185e-264	"0"	"Pbk"
"Lypd8"	4.36241467664086e-266	-0.940607331123271	0.878	0.924	7.45667540678223e-262	"0"	"Lypd8"
"Serpinb1a"	2.01220739498462e-265	-0.806541109261197	0.49	0.759	3.43946610024721e-261	"0"	"Serpinb1a"
"Ccnb2"	8.09460628596584e-265	-0.708276422671963	0.07	0.349	1.38361105246014e-260	"0"	"Ccnb2"
