"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Qsox1"	0	0.747808279065284	0.619	0.187	0
"Lrrc26"	0	0.643590876204627	0.55	0.144	0
"Dnajc10"	0	0.878104841060047	0.603	0.163	0
"Creb3l1"	0	0.685309703126854	0.461	0.091	0
"S100a6"	0	0.72873876462213	0.559	0.16	0
"5330417C22Rik"	0	0.610497012474895	0.57	0.163	0
"Clca1"	0	0.76673551291629	0.574	0.147	0
"Spink4"	0	1.53481445739654	0.987	0.862	0
"Galnt12"	0	0.779118382524037	0.647	0.218	0
"Klf4"	0	0.907671620598085	0.633	0.144	0
"Guca2a"	0	1.3650296341353	0.863	0.305	0
"Guca2b"	0	1.01977445387102	0.668	0.209	0
"Sh3bgrl3"	0	0.924287216592357	0.941	0.711	0
"Rap1gap"	0	0.542235946032393	0.374	0.075	0
"Smim14"	0	0.817738379427187	0.758	0.331	0
"Hpd"	0	0.554676297819096	0.4	0.086	0
"Hepacam2"	0	0.485747752968347	0.579	0.164	0
"Atoh1"	0	0.797650055638591	0.497	0.086	0
"Tmsb10"	0	1.03626700805861	0.98	0.797	0
"Rep15"	0	0.731970257152113	0.606	0.131	0
"Fcgbp"	0	1.24069891350481	0.966	0.324	0
"Fxyd3"	0	1.13261825130408	0.919	0.425	0
"Klk1"	0	0.879650684292049	0.77	0.312	0
"Stard10"	0	0.780006441619501	0.965	0.791	0
"Sct"	0	-0.271412995278358	0.607	0.19	0
"Muc2"	0	1.13215392924062	0.837	0.255	0
"Mmp7"	0	0.958310496591765	0.549	0.161	0
"Gcnt3"	0	0.694842277899391	0.505	0.103	0
"Selenom"	0	1.70012737275032	0.97	0.307	0
"Ccl9"	0	1.00569117112039	0.498	0.092	0
"Smim6"	0	1.16402156585202	0.898	0.407	0
"Agr2"	0	1.90358521283745	0.984	0.611	0
"Tspan13"	0	0.738831426240701	0.646	0.225	0
"Txndc5"	0	1.24557624620128	0.855	0.291	0
"Lgals2"	0	0.686285322943725	0.999	0.995	0
"Fkbp11"	0	0.827762412848314	0.579	0.166	0
"Pla2g10"	0	0.464158350132128	0.338	0.067	0
"Slc12a8"	0	0.672799848349757	0.557	0.13	0
"Pdia5"	0	0.683075418525089	0.492	0.115	0
"Bace2"	0	0.485703764058426	0.399	0.086	0
"Dll1"	0	0.535036380066075	0.324	0.06	0
"Tpsg1"	0	0.894787703956253	0.598	0.109	0
"Spdef"	0	0.844002280523304	0.496	0.085	0
"Tff3"	0	1.50792611136216	0.997	0.693	0
"Creb3l4"	3.53805122006948e-303	0.507865524184352	0.374	0.087	6.04759095046477e-299
"Pdia6"	9.85281429607176e-291	0.922172365027079	0.906	0.691	1.68414154762755e-286
"Ramp1"	7.22719643735067e-287	0.584138953455	0.473	0.134	1.23534468703635e-282
"Ern2"	8.59877334573688e-286	0.427284850175677	0.304	0.063	1.4697883279868e-281
"Rnase1"	8.06751884085359e-284	0.863149997670126	0.481	0.15	1.3789809954671e-279
"Rab15"	2.69388174628022e-280	0.49302396528336	0.347	0.082	4.60465206891679e-276
"Sec61b"	2.85302885857589e-279	0.703725829923952	0.981	0.914	4.87668222796377e-275
"Reep5"	5.53115469453855e-274	0.458037487744924	0.539	0.175	9.45440271937474e-270
"P2rx4"	2.23712603755505e-273	0.542828416723018	0.454	0.134	3.82391953599284e-269
"Ccl6"	1.76073415844279e-269	1.00512991090733	0.527	0.183	3.00962289702626e-265
"Galnt7"	8.95288492843631e-263	0.643375967532057	0.543	0.195	1.53031662081762e-258
"Rap1gapos"	5.89837983451401e-262	0.370569900508674	0.291	0.061	1.00821006511348e-257
"Manf"	1.10646977863068e-261	0.887383588173895	0.916	0.687	1.89128879261341e-257
"Cbfa2t3"	1.74983243158126e-261	0.399674433180945	0.285	0.059	2.99098857530184e-257
"Calr"	9.50447434846879e-248	0.778441023610916	0.898	0.647	1.62459980038377e-243
"Lgals4"	3.96285185321977e-247	0.568052560134617	0.999	0.988	6.77370267270855e-243
"Krt18"	9.13216229154188e-247	0.476632497704081	0.983	0.906	1.56096050049325e-242
"Tpd52"	1.71772753919073e-236	0.723964045398048	0.91	0.686	2.93611168273871e-232
"Ssr2"	2.12459835925586e-235	0.711957903954875	0.952	0.825	3.63157597547604e-231
"Foxa3"	3.85598770836925e-229	0.58442239179941	0.558	0.215	6.59103978991556e-225
"Ttc39a"	4.66760076810092e-229	0.364245098933981	0.302	0.072	7.9783299929149e-225
"Hgfac"	3.05791679995319e-228	0.421325882301596	0.356	0.097	5.22689718615998e-224
"Kdelr2"	5.63911854670831e-227	0.752621682555466	0.85	0.552	9.63894533188851e-223
"Scin"	2.12246532711215e-224	0.437300930402263	0.379	0.107	3.62792998363279e-220
"AW112010"	2.80099465080048e-221	0.590029105952353	0.59	0.252	4.78774015661326e-217
"Liph"	1.24990225900391e-219	0.390328182860342	0.324	0.085	2.13645793131538e-215
"Sdf2l1"	2.702961864861e-218	0.733053206968111	0.605	0.277	4.62017271560691e-214
"Rnase4"	2.73837523228336e-218	0.819531174866644	0.766	0.4	4.68070478454194e-214
"Krt7"	5.97021483362045e-217	0.65418929925988	0.806	0.468	1.02048882151074e-212
"Sec11c"	2.76987014998067e-216	0.687002919502932	0.906	0.72	4.73453904736196e-212
"Asph"	2.6960258596223e-214	0.520079370638187	0.486	0.175	4.6083170018524e-210
"Cracr2b"	1.32444775413125e-213	0.480040201854035	0.379	0.117	2.26387854613655e-209
"Atp2a3"	4.26601118768703e-212	0.377997064874027	0.352	0.099	7.29189292311345e-208
"Ang"	1.33047000008958e-210	0.643960298801025	0.549	0.227	2.27417237115312e-206
"Capn9"	3.94000153856876e-210	0.292142992700989	0.271	0.062	6.73464462987557e-206
"Wars"	1.03727703431735e-207	0.505027940128913	0.506	0.19	1.77301763475865e-203
"Herpud1"	8.20691830492084e-203	0.631913477749485	0.616	0.28	1.40280854586012e-198
"Selenos"	8.95243631906916e-202	0.648859827837169	0.823	0.509	1.53023994001849e-197
"Ostc"	2.3012569279316e-201	0.701861301556512	0.887	0.664	3.93353846691348e-197
"Ano7"	2.36225860313611e-201	0.298443480653822	0.256	0.059	4.03780863034056e-197
"Anxa13"	3.96699038695263e-201	0.576812597165115	0.671	0.31	6.78077666841814e-197
"Tsta3"	7.99064209477861e-193	0.666117759149931	0.82	0.54	1.36584045326051e-188
"Nans"	1.28923088903275e-192	0.683628545661598	0.779	0.481	2.20368235862369e-188
"Tmed3"	1.04059272751885e-191	0.630672106612681	0.716	0.388	1.77868514914796e-187
"Gfpt1"	5.11324482651429e-191	0.547884037842213	0.58	0.256	8.74006938196087e-187
"Ndrg1"	6.52489568251257e-191	0.394746846314353	0.386	0.124	1.11530041901187e-186
"Chst4"	6.75229569117056e-188	0.334161788224669	0.253	0.061	1.15416990249178e-183
"Gm14207"	4.57448333653407e-185	0.4086859682641	0.328	0.099	7.81916436713769e-181
"Tnfaip8"	1.59125644543103e-183	0.376719402770164	0.299	0.084	2.71993464217526e-179
"Fos"	8.49157825445702e-183	0.58181564752452	0.493	0.196	1.45146547103434e-178
"Hspa5"	4.09092248927003e-182	0.670516323944778	0.91	0.692	6.99261381090927e-178
"C1galt1c1"	1.70411498086616e-180	0.512835117177267	0.499	0.206	2.91284373679453e-176
"Bcas1"	2.16684311785541e-179	0.256082991837287	0.257	0.064	3.70378494135025e-175
"Sec61g"	1.11732145630782e-178	0.54095549803391	0.971	0.912	1.90983756526695e-174
"Ergic1"	3.32602715659752e-177	0.50572957499705	0.482	0.197	5.68517821877215e-173
"Rab27b"	3.87075986528946e-176	0.392332501994383	0.413	0.146	6.61628983773927e-172
"C1galt1"	6.52305686219081e-174	0.456244465620642	0.474	0.19	1.11498610945427e-169
"Dpysl2"	2.89821816699354e-171	0.293229749186255	0.255	0.066	4.95392431284206e-167
"Rrbp1"	6.02074374214532e-168	0.605877503084327	0.866	0.625	1.0291257278449e-163
"Serp1"	6.76889825353544e-165	0.614536981106887	0.758	0.476	1.15700777847681e-160
"Krtcap2"	1.65995542965331e-164	0.580712921318613	0.924	0.793	2.83736181590641e-160
"Gale"	3.47116008580383e-162	0.560852088220023	0.695	0.383	5.93325393466449e-158
"Ssr4"	3.92189039469718e-162	0.462459363895663	0.978	0.933	6.70368725165589e-158
"Dynll1"	8.36927496759354e-162	0.585125911684837	0.901	0.665	1.43056017021076e-157
"Rab3d"	1.7157918764108e-161	0.343394728285536	0.407	0.149	2.93280305434898e-157
"Zg16"	4.35092291561235e-161	0.7298095470388	0.878	0.764	7.43703253965619e-157
"Golm1"	5.08442931699363e-158	0.613269040134321	0.652	0.356	8.69081503153722e-154
"P4hb"	3.26005081015212e-157	0.592741412929003	0.808	0.537	5.57240484979303e-153
"Litaf"	9.07779591027062e-156	0.428408922606675	0.436	0.174	1.55166765494256e-151
"Hsp90b1"	1.13552233543299e-154	0.672313176204636	0.868	0.656	1.9409483279556e-150
"Neat1"	1.83826910398479e-154	0.459725043798025	0.522	0.233	3.1421533794412e-150
"Oit1"	6.4494828865936e-152	0.578467204860544	0.596	0.306	1.10241010980544e-147
"Cpd"	2.72862354190223e-150	0.356496290596243	0.288	0.091	4.66403622017348e-146
"Fabp2"	5.39493150681362e-150	0.327894029595259	0.966	0.846	9.22155642459653e-146
"Pdia3"	8.04980824022797e-150	0.609785601703617	0.901	0.739	1.37595372250217e-145
"Ppib"	4.55207389413325e-149	0.455460633438911	0.97	0.914	7.78085990724196e-145
"Xbp1"	1.61145191604283e-143	0.523059647928604	0.647	0.358	2.754454760092e-139
"Car8"	2.44067994074091e-143	0.4243567655397	0.456	0.193	4.17185422270844e-139
"Mlph"	3.46128129214881e-143	0.319562525891001	0.292	0.095	5.91636811266995e-139
"Fam174b"	4.16658460873292e-143	0.298262032416537	0.293	0.095	7.12194307170718e-139
"Cd9"	2.05425105565307e-142	0.55767953691864	0.717	0.424	3.5113313294278e-138
"Rpn1"	2.53581888321728e-140	0.546683838661521	0.759	0.486	4.33447521708329e-136
"Galnt10"	2.5141185992323e-138	0.300557857065772	0.25	0.075	4.29738292166777e-134
"Npdc1"	1.20156680205863e-137	0.362870162621938	0.428	0.177	2.05383813475882e-133
"Cmpk1"	1.51716590866634e-136	0.591688433607447	0.848	0.656	2.59329168768338e-132
"Gmppb"	7.46353409999845e-135	0.458136520552474	0.524	0.256	1.27574188371273e-130
"Tmed9"	6.55231910353329e-133	0.540663779280306	0.781	0.527	1.11998790436695e-128
"Oat"	5.65628231091493e-130	-0.77006863047146	0.833	0.868	9.66828335404689e-126
"Sec61a1"	6.36381941305314e-129	0.404528584324352	0.467	0.214	1.08776765227317e-124
"Tspan1"	3.22012955303314e-125	0.466328958851371	0.638	0.359	5.50416744499954e-121
"Slc50a1"	3.18762437102986e-124	0.468332589868086	0.639	0.372	5.44860633740133e-120
"Nupr1"	6.01187474064461e-124	0.250359193553524	0.327	0.115	1.02760974941838e-119
"Impad1"	1.38386424844588e-123	0.415876540143824	0.414	0.18	2.36543915986855e-119
"Stt3a"	1.98066207096248e-123	0.42636044056797	0.529	0.267	3.38554567789618e-119
"Carhsp1"	3.00577089167415e-123	0.580689724158993	0.797	0.563	5.13776418513862e-119
"Muc13"	6.40264155751062e-123	0.493394778260962	0.873	0.688	1.09440352142529e-118
"S100a13"	1.00395697015765e-122	0.265562720000685	0.422	0.176	1.71606364909046e-118
"Egr1"	1.20709209856478e-121	0.328731606399916	0.372	0.15	2.06328252407678e-117
"Csrp1"	2.64509865883536e-121	0.369786348777347	0.337	0.133	4.52126713754729e-117
"Dad1"	2.71559970648676e-120	0.429906441270341	0.957	0.897	4.64177457829783e-116
