Cluster	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	SUMMARY
Lgr5Cre	2124	1964	1144	1274	889	859	973	695	334	283	256	298	196	112	64	11465
Setdb1KO	2036	2129	1657	1049	1281	1239	864	1136	669	558	475	419	269	324	30	14135
	0.185259485390318	0.171303968600087	0.099781945050153	0.111120802442215	0.077540340165722	0.074923680767554	0.084866986480593	0.060619276057567	0.029132141299608	0.024683820322721	0.02232882686437	0.025992150021806	0.017095508068033	0.009768861753162	0.005582206716092	
	0.144039617969579	0.150619030774673	0.117226742129466	0.074212946586488	0.090626105412098	0.087654757693668	0.061124867350548	0.080367881146091	0.047329324372126	0.039476476830563	0.033604527767952	0.029642730810046	0.019030774672798	0.022921825256456	0.00212239122745	
