"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Mcm3"	0	0.68158633691239	0.526	0.154	0
"Ptma"	0	0.549356489333741	1	0.986	0
"Mcm6"	0	0.713605311308876	0.563	0.181	0
"Hat1"	0	0.784567035856917	0.66	0.235	0
"Rad51"	0	0.553221095922235	0.401	0.102	0
"Dut"	0	1.15472285843002	0.938	0.459	0
"Pcna"	0	1.10636741921266	0.854	0.331	0
"Psip1"	0	0.633020152214738	0.616	0.25	0
"Nasp"	0	0.738630998281853	0.752	0.352	0
"Clspn"	0	0.653884441945974	0.413	0.072	0
"Rpa2"	0	0.711858681676972	0.582	0.189	0
"Stmn1"	0	1.3241834939021	0.998	0.715	0
"Tyms"	0	1.08786287546586	0.873	0.381	0
"Slbp"	0	0.94967105017843	0.814	0.367	0
"Rfc2"	0	0.740347656570398	0.728	0.319	0
"Mcm7"	0	0.692735043380913	0.624	0.239	0
"Rfc3"	0	0.700592605888953	0.642	0.25	0
"Rad51ap1"	0	0.582000774164705	0.387	0.077	0
"Lig1"	0	1.14151538081569	0.787	0.227	0
"Ccne1"	0	0.396186401143453	0.263	0.044	0
"Dctpp1"	0	0.773798693857263	0.918	0.582	0
"Mcm5"	0	0.652744255366811	0.503	0.15	0
"Asf1b"	0	0.57306152184113	0.446	0.133	0
"Syce2"	0	0.643459357821834	0.5	0.145	0
"Orc6"	0	0.673520524594039	0.593	0.22	0
"Gins2"	0	0.645329737337712	0.521	0.16	0
"Cdt1"	0	0.521582395182506	0.407	0.109	0
"Tipin"	0	0.711153221941977	0.604	0.208	0
"Pclaf"	0	1.66561227484507	0.92	0.343	0
"Mif"	0	0.684275216348424	0.985	0.826	0
"Nap1l1"	0	0.895468589355947	0.801	0.365	0
"Prim1"	0	0.68447350049769	0.558	0.179	0
"Npm1"	0	0.605483156091189	0.998	0.911	0
"Slfn9"	0	0.804774292129768	0.526	0.111	0
"Top2a"	0	0.879712321187233	0.725	0.276	0
"Tk1"	0	0.949383935955271	0.766	0.265	0
"Rrm2"	0	0.763429664828411	0.514	0.132	0
"Siva1"	0	1.07194935923273	0.839	0.351	0
"Gmnn"	0	0.896979277530666	0.819	0.394	0
"Dek"	0	0.982021303995223	0.943	0.552	0
"Dhfr"	0	0.591233370721323	0.529	0.188	0
"Cenph"	0	0.584966157017727	0.438	0.113	0
"Cenpk"	0	0.539890753309802	0.444	0.134	0
"Dnajc9"	0	0.78310450360614	0.697	0.275	0
"Esco2"	0	0.674178529219726	0.442	0.117	0
"Olfm4"	0	1.01074622365894	0.985	0.63	0
"Dscc1"	0	0.515427931711316	0.331	0.053	0
"Atad2"	0	0.853501698285066	0.576	0.142	0
"Tuba1b"	0	0.748126845388866	0.802	0.406	0
"Mcm4"	0	0.521935258834304	0.401	0.114	0
"Ranbp1"	0	0.782841378457446	0.982	0.769	0
"Rfc4"	0	0.881150740569288	0.762	0.311	0
"Chaf1b"	0	0.64294853491805	0.466	0.106	0
"Hmgn1"	0	0.77122882271884	0.961	0.663	0
"Tcf19"	0	0.407486637801741	0.26	0.047	0
"Tubb5"	0	0.891078859206566	0.967	0.617	0
"Fen1"	0	0.6503045355023	0.556	0.199	0
"Hells"	0	1.08003550246344	0.748	0.231	0
