"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Pnp2"	1.6175128647208e-255	0.47012470629948	0.598	0.232	2.76481473966727e-251
"Atp5d"	2.3778091325169e-254	0.439339342436182	1	0.968	4.06438915021114e-250
"Fth1"	3.17466134736624e-254	0.379329223662517	1	0.996	5.42644864105311e-250
"Atp5k"	8.61512823861907e-254	0.508628977413186	0.999	0.913	1.47258386982716e-249
"Fbxo5"	6.11986564621838e-253	0.409985160272536	0.387	0.114	1.04606863490811e-248
"Jpt1"	1.22737583285028e-251	0.599892852962518	0.985	0.815	2.09795351109099e-247
"Crip1"	2.37811090951776e-250	0.429555948435521	1	0.921	4.0649049776387e-246
"Uqcrq"	5.32973566244982e-250	0.455577022690991	1	0.965	9.11011716782547e-246
"Nucks1"	7.7002751494699e-250	0.628612691000286	0.937	0.604	1.31620803129889e-245
"Cnih4"	7.34138666483152e-249	0.61670277377368	0.874	0.516	1.25486322261965e-244
"Atp5j2"	1.66572869129368e-245	0.443883723400362	1	0.966	2.84723005202829e-241
"Uqcrfs1"	4.54216833090455e-245	0.544603012792862	0.99	0.817	7.76392832801514e-241
"Prap1"	4.64853500556696e-245	0.601556437113003	0.987	0.768	7.94574088501561e-241
"Atp5f1"	1.65622222637264e-244	0.488897148988175	1	0.921	2.83098065153876e-240
"Ywhah"	3.41450820986225e-242	0.602083298172744	0.899	0.562	5.83641888311754e-238
"Cox6b1"	6.09468360246697e-236	0.414001798028985	1	0.963	1.04176426816968e-231
"Dbf4"	7.20283755571198e-236	0.386784518511817	0.414	0.134	1.23118102339785e-231
"Ndufb10"	8.9329691189837e-236	0.507947277808834	0.995	0.859	1.52691241150788e-231
"Mdh2"	5.70870091036184e-235	0.464471615493605	0.997	0.898	9.75788246608149e-231
"Atp5g3"	3.95206108927573e-234	0.477758486365455	0.999	0.91	6.755258019899e-230
"Ndufs7"	2.01134507149312e-233	0.520430011634524	0.991	0.853	3.43799213070319e-229
"Ddx39"	1.97795512134757e-232	0.58195638592145	0.901	0.565	3.38091868891941e-228
"Bub3"	9.42214793792828e-230	0.515067896490486	0.715	0.345	1.61052774703008e-225
"Pgam1"	1.60400128382008e-228	0.582359004608187	0.929	0.616	2.74171939443366e-224
"H2afv"	2.74524564082189e-228	0.504293064200468	0.999	0.891	4.69244837385686e-224
"Car4"	2.55556264714357e-226	0.388182435243668	0.458	0.155	4.36822323276251e-222
"Ptma"	8.15685011829573e-225	0.479909088272009	1	0.986	1.39425039072029e-220
"Cox7a2"	1.34275934876906e-224	0.434144234752844	1	0.948	2.29517855485096e-220
"Mgst1"	4.1449865843352e-223	0.551409504084841	0.979	0.677	7.08502556860417e-219
"Rfc5"	3.33640321818034e-220	0.420349510935757	0.539	0.213	5.70291402083566e-216
"Ndufa8"	3.52424900373214e-220	0.540675677815758	0.977	0.771	6.02399882207934e-216
"Ndufa4"	5.88723008217559e-220	0.397806798383815	1	0.969	1.00630423794627e-215
"Snrpd1"	6.91699277577299e-218	0.577854259488781	0.971	0.724	1.18232157516288e-213
"Gpx1"	1.60480731402226e-217	0.517186169101271	0.994	0.869	2.74309714185824e-213
"Tomm40"	1.45536308371419e-216	0.560009835125315	0.894	0.566	2.48765211899267e-212
"Cox7b"	3.91456013527141e-213	0.433415935725328	1	0.944	6.69115763921943e-209
"Hmgb1"	5.80964261800093e-213	0.516137337211762	0.998	0.875	9.93042212694899e-209
"Chchd10"	5.61030941165393e-212	0.49600145084484	0.996	0.865	9.58970187734006e-208
"Reep4"	1.26199235047926e-210	0.418083839787046	0.467	0.175	2.1571235246742e-206
"Gmnn"	1.04628551123994e-209	0.516969344788887	0.776	0.402	1.78841582436242e-205
"Gsr"	4.79241550142241e-207	0.541046395880697	0.769	0.412	8.19167581658132e-203
"Atpif1"	9.30923371979969e-207	0.398505096265928	1	0.972	1.59122731972536e-202
"Vdac2"	1.38489490999724e-205	0.492803025384394	0.992	0.854	2.36720086965828e-201
"Lgals3"	2.87518869115909e-205	0.376936149729874	0.493	0.186	4.91456002979824e-201
"Prxl2b"	1.1503660973137e-204	0.446881949560697	0.777	0.389	1.96632077013831e-200
"Lgals2"	1.76236258687317e-204	0.397822550432644	1	0.995	3.0124063697423e-200
"Anp32e"	1.86623919082333e-204	0.454740703856348	0.698	0.331	3.18996264887432e-200
"Ppa1"	2.85363863070929e-204	0.492646441105907	0.983	0.784	4.87772451147139e-200
"Hspd1"	7.55041005181189e-203	0.549105526104826	0.995	0.832	1.29059159015621e-198
