"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Rgs13"	0	4.11697570764842	0.823	0.005	0
"Mgst3"	0	2.27072364296779	0.974	0.835	0
"Pea15a"	0	1.02145638031564	0.296	0.006	0
"Nebl"	0	1.15691224151752	0.324	0.002	0
"Ptgs1"	0	1.11889610069825	0.254	0.001	0
"Hck"	0	3.25655455574002	0.706	0.004	0
"Dclk1"	0	3.14232110958782	0.749	0.003	0
"Tm4sf4"	0	2.29172427032556	0.753	0.197	0
"Mcub"	0	1.53408835536956	0.446	0.003	0
"Adh1"	0	2.97739224367772	0.868	0.202	0
"Ccdc28b"	0	1.8568929605752	0.555	0.068	0
"Espn"	0	2.62162358057905	0.787	0.038	0
"Aldh2"	0	2.91300502703252	0.886	0.416	0
"Alox5ap"	0	3.69859466297707	0.794	0.008	0
"Strip2"	0	1.0634252569302	0.252	0.003	0
"Fam221a"	0	1.00779841803783	0.324	0.035	0
"Skap2"	0	2.26399774998365	0.702	0.13	0
"Hpgds"	0	1.7234876461382	0.544	0.007	0
"Sh2d6"	0	2.85226085329046	0.728	0.003	0
"Alox5"	0	1.27583723878178	0.326	0.001	0
"Ptpn6"	0	2.0835869536416	0.593	0.063	0
"Lrmp"	0	3.63582832018708	0.872	0.006	0
"Itpr2"	0	1.45624406008548	0.409	0.016	0
"Siglecf"	0	1.2251991388556	0.254	0.001	0
"Spib"	0	1.43646197893856	0.411	0.001	0
"Hmx3"	0	1.54954479223493	0.464	0.001	0
"Hmx2"	0	1.74664578804945	0.529	0.002	0
"Trpm5"	0	1.87220753080802	0.491	0.003	0
"Plcg2"	0	1.44985306404193	0.449	0.013	0
"Nrgn"	0	2.13365575848179	0.34	0.007	0
"Pou2f3"	0	0.824435623464626	0.255	0.002	0
"1810046K07Rik"	0	1.38339736883922	0.445	0.008	0
"Sh2d7"	0	1.33311922946923	0.354	0.001	0
"Ppp1r14c"	0	1.17155671169067	0.368	0.018	0
"Cd24a"	0	3.39295729560633	0.985	0.502	0
"Matk"	0	2.0703627277955	0.462	0.004	0
"Avil"	0	2.8993096292637	0.82	0.006	0
"Inpp5j"	0	1.09478483633615	0.35	0.036	0
"Selenom"	0	1.83892298359302	0.957	0.337	0
"Snrnp25"	0	2.45682587516014	0.734	0.171	0
"Ltc4s"	0	3.37109569472966	0.852	0.033	0
"Pik3r5"	0	1.4681888994555	0.399	0.002	0
"Atp2a3"	0	1.76017717055874	0.589	0.104	0
"Limd2"	0	1.60655106045018	0.499	0.018	0
"Pygl"	0	1.64671607773098	0.471	0.002	0
"Kctd12"	0	3.15593359756681	0.842	0.028	0
"Fyb"	0	3.2461008686626	0.815	0.026	0
"Basp1"	0	1.34672824223464	0.268	0.001	0
"Rac2"	0	1.6293276860989	0.317	0.003	0
"Tuba1a"	0	2.73151846631206	0.643	0.03	0
"Krt18"	0	2.97450427362972	0.994	0.909	0
"Gng13"	0	2.29148030932993	0.544	0.005	0
"Ly6g6d"	0	1.80808759624811	0.516	0.008	0
"Ly6g6f"	0	2.17963468235039	0.614	0.004	0
"Vav1"	0	1.58347319316731	0.449	0.007	0
"Reep5"	0	2.89380570480441	0.837	0.183	0
"Hsbp1l1"	0	0.972591108239189	0.329	0.026	0
"Malat1"	0	2.03881281900218	0.999	0.99	0
"Il13ra1"	0	1.93110938295447	0.632	0.087	0
"Tspan6"	0	1.94420091582864	0.487	0.015	0
"Smpx"	0	1.585739621353	0.41	0.015	0
"Bmx"	0	1.46271359042772	0.418	0.001	0
"Bpgm"	1.20428566322762e-301	1.73871545706178	0.644	0.173	2.05848548415498e-297
