"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Malat1"	0	-1.28828892621123	0.996	0.99	0
"Dmbt1"	5.09658243066088e-295	0.968429055462928	0.791	0.414	8.71158834872865e-291
"Hspe1"	4.35460644631054e-294	0.615528645342556	0.991	0.895	7.4433287986786e-290
"Ppia"	1.16495731641305e-276	0.441054984583026	1	0.993	1.99126154094482e-272
"Hspd1"	9.8071096923466e-271	0.697647299455671	0.982	0.832	1.6763292597128e-266
"Rps2"	2.57377225359221e-265	0.393908180407222	1	0.995	4.39934891306516e-261
"Eif5a"	4.17909885298596e-235	0.48808470075398	0.994	0.948	7.1433336694089e-231
"Hells"	1.66637976179554e-220	0.67300135457205	0.548	0.253	2.84834292683712e-216
"Dut"	2.05975678672447e-213	0.652736588055546	0.785	0.477	3.52074227554813e-209
"C1qbp"	4.58392762832165e-197	0.583440608112152	0.929	0.716	7.8353074950902e-193
"Ranbp1"	2.3476339719703e-193	0.561144968661037	0.955	0.773	4.01281074828884e-189
"Nme2"	1.05481718131838e-187	0.391409544515111	0.998	0.971	1.80299900802751e-183
"Npm1"	9.38593977625996e-184	0.48169218991301	0.993	0.912	1.60433868595612e-179
"Rps17"	1.29216936039772e-174	0.376700299274783	0.998	0.973	2.20870508772783e-170
"Csrp2"	7.12196208076955e-170	0.515554658030342	0.957	0.793	1.21735697846594e-165
"Tomm5"	3.17622206448354e-168	0.530421818824694	0.939	0.788	5.42911637482171e-164
"Ybx1"	1.15117109919486e-167	0.381737868725424	0.996	0.966	1.96769675985377e-163
"Mcm3"	2.6091277323022e-167	0.517595519388856	0.397	0.168	4.45978203282415e-163
"Phb2"	1.89173444594194e-166	0.482504921731781	0.972	0.834	3.23354168844855e-162
"Ung"	4.24841490237328e-164	0.429124846569365	0.31	0.11	7.26181559262664e-160
"Snrpg"	5.14850964681888e-158	0.440026084418591	0.985	0.887	8.80034753930751e-154
"Cdt1"	8.56365830975661e-155	0.41897316918095	0.318	0.119	1.4637861148867e-150
"Prap1"	1.24232703829652e-154	0.410863551911596	0.961	0.77	2.12350960656024e-150
"Selenom"	1.11845356547042e-153	-2.28239805303556	0.113	0.377	1.91177267945859e-149
"Pcna"	3.52368079488133e-152	0.552289873034724	0.613	0.357	6.02302758269065e-148
"Pycard"	1.89483820736092e-149	0.398811405845575	0.996	0.898	3.23884694784202e-145
"Mcm6"	4.77600338404766e-149	0.493038353982272	0.424	0.196	8.16362258435267e-145
"Mt1"	2.54451451644303e-140	0.469300120226563	0.934	0.751	4.34933866295607e-136
"Snhg4"	2.8376075564739e-139	0.562785573100519	0.556	0.319	4.85032259628083e-135
"Ran"	9.02968283452368e-139	0.422734028505147	0.987	0.869	1.54344368690513e-134
"Fxyd3"	1.97300390736517e-135	-1.46313004931776	0.236	0.481	3.37245557885928e-131
"Nhp2"	4.31972894846817e-134	0.485485253469616	0.889	0.697	7.38371269161664e-130
"Gpx1"	3.07796703309592e-133	0.382815383623366	0.97	0.871	5.26116904967086e-129
"Mif"	1.85629294713416e-131	0.424283755242336	0.958	0.829	3.17296153453641e-127
"Anp32b"	3.01740849976895e-131	0.450544451452989	0.941	0.78	5.15765634865507e-127
"Nasp"	8.63744022732589e-129	0.518078265362778	0.6	0.369	1.47639765805681e-124
"Ncl"	2.48442968566528e-120	0.458216837983419	0.928	0.781	4.24663566170766e-116
"Snrpd2"	7.02302534213213e-115	0.398538054398669	0.962	0.841	1.20044572173065e-110
"Mrpl12"	1.83123491508038e-114	0.406661199308779	0.958	0.822	3.1301298403469e-110
"Tipin"	1.66853053212476e-113	0.457244968243293	0.429	0.227	2.85201923856085e-109
"Cyc1"	3.81937995361583e-112	0.378776452941838	0.976	0.864	6.52846615471553e-108
"Snu13"	9.84148849612638e-112	0.438885441181834	0.893	0.737	1.68220562864288e-107
"Slbp"	9.01832750464119e-111	0.470250470571628	0.603	0.389	1.54150272036832e-106
"Dctpp1"	2.05635017542363e-108	0.445073425308655	0.808	0.595	3.51491935485162e-104
"Guca2a"	2.50744905324181e-105	-2.74114295766667	0.152	0.363	4.28598266670622e-101
"Ybx3"	2.53483777857785e-105	0.431213687554605	0.847	0.688	4.33279821492311e-101
"Snrpd1"	4.1438276850457e-105	0.414136092052892	0.899	0.73	7.08304466204861e-101
"Muc2"	5.15574436477962e-105	-3.10888738879416	0.106	0.314	8.81271384271781e-101
"Lig1"	1.14243193017355e-104	0.431423315154995	0.471	0.26	1.95275889824565e-100
"Rfc3"	7.31903760832971e-103	0.4604585817011	0.466	0.268	1.2510430983918e-98
"Guca2b"	9.18753739254713e-102	-1.12917377796535	0.058	0.259	1.57042576650808e-97
"Snrpf"	4.76316650083458e-101	0.373785567687047	0.918	0.779	8.14168049987654e-97
"Mcm5"	1.5219276099574e-98	0.397693303214558	0.339	0.168	2.60143086370018e-94
"Dek"	5.98631757564594e-97	0.394527695667247	0.794	0.568	1.02324126320516e-92
"Mcm7"	2.59656005460532e-94	0.410651468077762	0.449	0.258	4.43830010133688e-90
"Fbl"	4.17372761061093e-92	0.399400139657616	0.755	0.568	7.13415260481726e-88
"Rpa2"	6.12333775489393e-92	0.414304152791386	0.385	0.209	1.04666212244402e-87
"Tff3"	1.22389615258414e-91	-3.68434174012692	0.612	0.724	2.09200569361207e-87
"Smim14"	2.97369052318135e-91	-0.765899073718802	0.174	0.379	5.08292921127389e-87
"Snhg3"	2.2956317903297e-89	0.456419834488837	0.548	0.366	3.92392341921056e-85
"Orc6"	4.66392368358229e-88	0.409461507300468	0.416	0.238	7.9720447523472e-84
"Ociad2"	1.99484515475052e-87	0.389837871586285	0.847	0.687	3.40978882301507e-83
"Agr2"	9.62356290595295e-87	-4.13388346765564	0.52	0.649	1.64495560751454e-82
"Ube2c"	2.84654833657268e-85	-1.43366069380098	0.268	0.429	4.86560507170368e-81
"Gmnn"	2.80183674922029e-81	0.43681066666259	0.596	0.417	4.78917955544225e-77
"Pa2g4"	4.10146467673404e-81	0.388794123204084	0.732	0.557	7.01063357194149e-77
"Cenpf"	4.99906110026985e-81	-0.602416946290573	0.073	0.252	8.54489513869126e-77
"Sfn"	6.09893133458447e-81	0.405555014064884	0.591	0.407	1.04249033302052e-76
"Tspan13"	4.32639994023658e-78	-0.662764767962928	0.092	0.27	7.39511541784638e-74
"Fcgbp"	1.72587835582825e-76	-3.9446110874059	0.215	0.384	2.95004387361722e-72
"Timm8a1"	6.01368982548553e-74	0.383646230113514	0.721	0.555	1.02792000187024e-69
"Pgp"	7.15761113542742e-74	0.387797429443092	0.802	0.676	1.22345047137861e-69
"Tfam"	7.1988926506464e-74	0.389773982256099	0.58	0.414	1.23050672077499e-69
"Cenpa"	8.29279150322564e-74	-0.695063033921725	0.14	0.313	1.41748685164636e-69
"Actb"	3.32098439963927e-70	-0.452761004803262	0.976	0.975	5.67655863430341e-66
"Spink4"	4.27389799794392e-70	-4.17376437867144	0.846	0.874	7.30537384788555e-66
"Txndc5"	8.22726561077976e-69	-0.953441643664295	0.179	0.346	1.40628651085058e-64
"Jun"	3.83219655330395e-67	-0.781136836295427	0.228	0.405	6.55037356856244e-63
"Calm2"	7.61757375163792e-66	-0.433254177700646	0.903	0.895	1.30207188136747e-61
"Atic"	8.76144277314851e-66	0.376444380764768	0.482	0.325	1.49759341321427e-61
"Birc5"	2.5130062632401e-65	-0.802065537969514	0.275	0.419	4.29548160575631e-61
"Cdca8"	5.89273735912956e-64	-0.54845079372303	0.179	0.343	1.00724559679602e-59
"Rnase4"	4.00460560466311e-63	-0.683399277260085	0.271	0.44	6.84507236005066e-59
"Cdhr5"	1.05380554269413e-61	-0.593419345713987	0.132	0.295	1.80126981412708e-57
"Foxa3"	4.59004681768252e-60	-0.469894044473277	0.1	0.252	7.84576702546474e-56
"Krt7"	8.58670625455337e-58	-0.635141726796733	0.347	0.506	1.46772570009081e-53
"Tubb4b"	1.98211033072358e-57	-0.736129965216117	0.753	0.766	3.38802118830582e-53
"Krt18"	1.16405957611375e-56	-0.86198632793347	0.907	0.912	1.98972703345123e-52
"Tmed3"	1.09748007453223e-52	-0.576736102223726	0.269	0.425	1.87592269139794e-48
"Tsc22d1"	2.09046509993165e-51	-0.43926601897816	0.217	0.374	3.57323199531317e-47
"Itln1"	6.60394175396939e-51	-3.21145069398714	0.374	0.499	1.12881176400599e-46
"Neat1"	4.70816424062853e-50	-0.628023920534152	0.126	0.265	8.04766513650635e-46
"Ang"	3.81115787206589e-49	-0.449590695034305	0.123	0.262	6.51441215072222e-45
"P4hb"	4.22826047554493e-48	-0.581427792783831	0.446	0.567	7.22736563084895e-44
"Oit1"	1.00944364524502e-47	-0.436976196111637	0.19	0.339	1.72544202281731e-43
"Selenok"	2.28889176900034e-45	-0.41958465471581	0.385	0.528	3.91240270075228e-41
"Galnt12"	7.63988028740089e-45	-0.473422592297096	0.128	0.26	1.30588473752543e-40
"AW112010"	1.60603453137817e-44	-0.853487572648996	0.158	0.288	2.74519482448471e-40
"Hist1h2ap"	1.64604146813921e-44	-0.578131800406853	0.2	0.333	2.81357868149035e-40
"Cd24a"	2.95480889507803e-44	-0.93671204466899	0.413	0.525	5.05065484435687e-40
"Herpud1"	4.58321604075883e-44	-0.415529418885417	0.177	0.316	7.83409117846907e-40
"Tpd52"	9.19327296234205e-44	-0.528846480722903	0.611	0.71	1.57140614745313e-39
"Sec11c"	1.07596374970044e-43	-0.511093671376817	0.664	0.74	1.83914483736296e-39
"Smim6"	1.10316581573336e-43	-0.822503232241497	0.335	0.452	1.88564132883303e-39
"Ms4a8a"	1.87775642699304e-43	-0.429179795601032	0.124	0.251	3.2096490606592e-39
"Selenos"	2.25249866658487e-42	-0.551170543514356	0.425	0.542	3.85019597079352e-38
