"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Fev"	0	1.11032180637311	0.285	0.011	0
"Cryba2"	0	1.61386628141999	0.402	0.013	0
"Scg2"	0	2.40833039653461	0.3	0.002	0
"Pam"	0	1.61568964280649	0.391	0.021	0
"Olfm1"	0	1.57148848887568	0.432	0.008	0
"Nr4a2"	0	1.17408297761801	0.268	0.022	0
"Neurod1"	0	2.10801057119601	0.577	0.013	0
"Syt13"	0	0.963402457241885	0.265	0.005	0
"Pax6"	0	1.55970608397013	0.35	0.005	0
"Scg5"	0	1.78790939666054	0.434	0.01	0
"Prnp"	0	1.29535350048543	0.356	0.013	0
"Chgb"	0	2.45054240061031	0.653	0.085	0
"Insm1"	0	2.55049627674322	0.746	0.016	0
"Nkx2-2"	0	1.76539803773561	0.49	0.013	0
"Tm4sf4"	0	2.68065925928695	0.839	0.194	0
"Celf3"	0	1.31531046994511	0.357	0.008	0
"Cxxc4"	0	1.43933281408614	0.328	0.008	0
"Cacna2d1"	0	1.34462672312959	0.358	0.008	0
"Rimbp2"	0	1.17705339949357	0.338	0.008	0
"Peg3"	0	1.43123381767045	0.279	0.007	0
"Aplp1"	0	2.23569718289964	0.622	0.021	0
"Ffar2"	0	1.48008390823243	0.401	0.042	0
"Cdkn1c"	0	3.5190322249305	0.687	0.027	0
"Cpe"	0	2.86100658793911	0.562	0.015	0
"Cacna1a"	0	1.75999509770442	0.528	0.047	0
"Tubb3"	0	1.20708218504116	0.252	0.004	0
"Scg3"	0	1.3320262092922	0.301	0.006	0
"Hmgn3"	0	2.08800559762479	0.521	0.016	0
"Cck"	0	6.89137712032342	0.554	0.053	0
"Ppp1r14c"	0	1.07798700203644	0.276	0.02	0
"Rfx6"	0	1.15975124720439	0.297	0.008	0
"Neurog3"	0	2.36617145398415	0.361	0.01	0
"Myl7"	0	2.89149362901593	0.469	0.062	0
"Fam183b"	0	2.87674919401221	0.692	0.164	0
"Rph3al"	0	1.21021090591947	0.363	0.038	0
"Rundc3a"	0	0.959497343919574	0.285	0.01	0
"Chga"	0	1.36855169902068	0.599	0.045	0
