"","x"
"218","Pard3bos1"
"219","Nrp2"
"220","Ino80d"
"221","Ino80dos"
"222","Gm20342"
"223","Ndufs1"
"224","Eef1b2"
"225","Adam23"
"226","Fastkd2"
"227","Klf7"
"228","Creb1"
"229","Mettl21a"
"230","2810408I11Rik"
"231","Ccnyl1"
"232","Fzd5"
"233","Plekhm3"
"234","D630023F18Rik"
"235","Idh1"
"236","Pikfyve"
"237","Map2"
"238","Unc80"
"239","Rpe"
"240","Kansl1l"
"241","Acadl"
"242","Lancl1"
"243","Cps1"
"244","Ikzf2"
"245","Bard1"
"246","Atic"
"247","4933417E11Rik"
"248","Gm4319"
"249","Mreg"
"250","Pecr"
"251","Xrcc5"
"252","March4"
"253","Smarcal1"
"254","Rpl37a"
"255","Igfbp2"
"256","Arpc2"
"257","Gpbar1"
"258","Aamp"
"259","Pnkd"
"260","Tmbim1"
"261","Gm29358"
"262","Catip"
"263","Ctdsp1"
"264","Vil1"
"265","Usp37"
"266","Cnot9"
"267","Zfp142"
"268","Bcs1l"
"269","Rnf25"
"270","Stk36"
"271","Ttll4"
"272","Cyp27a1"
"273","Prkag3"
"274","Wnt6"
"275","Cdk5r2"
"276","Fev"
"277","Cryba2"
"278","Cfap65"
"279","Ihh"
"280","Nhej1"
"281","Slc23a3"
"282","Cnppd1"
"283","Retreg2"
"284","Zfand2b"
"285","Abcb6"
"286","Atg9a"
"287","Ankzf1"
"288","Glb1l"
"289","Stk16"
"290","Tuba4a"
"291","Dnajb2"
"292","Ptprn"
"293","Resp18"
"294","Dnpep"
"295","Gmppa"
"296","Chpf"
"297","Obsl1"
"298","Tmem198"
"299","Inha"
"300","Stk11ip"
"301","Slc4a3"
"302","Epha4"
"303","Sgpp2"
"304","Farsb"
"305","5730419F03Rik"
"306","Acsl3"
"307","Utp14b"
"308","Scg2"
"309","Ap1s3"
"310","Wdfy1"
"311","Mrpl44"
"312","Serpine2"
"313","Cul3"
"314","1700016L21Rik"
"315","Dock10"
"316","Irs1"
"317","Rhbdd1"
"318","Gm28940"
"319","C430014B12Rik"
"320","Mff"
"321","Gm28941"
"322","Tm4sf20"
"323","Agfg1"
"324","A030005L19Rik"
"325","Slc19a3"
"326","Ccl20"
"327","Sphkap"
"328","Pid1"
"329","Dner"
"330","Trip12"
"331","Fbxo36"
"332","Sp110"
"333","Sp140"
"334","Sp100"
"335","Cab39"
"336","Itm2c"
"337","4933407L21Rik"
"338","Gm28884"
"339","Gpr55"
"340","2810459M11Rik"
"341","Psmd1"
"342","Htr2b"
"343","Armc9"
"344","B3gnt7"
"345","Gm28626"
"346","Ncl"
"347","C130036L24Rik"
"348","Ptma"
"349","Pde6d"
"350","Cops7b"
"351","Dis3l2"
"352","Alppl2"
"353","Alpi"
"354","Akp3"
"355","Eif4e2"
"356","Gigyf2"
"357","Kcnj13"
"358","Snorc"
"359","Ngef"
"360","Neu2"
"361","Inpp5d"
"362","Atg16l1"
"363","Sag"
"364","Dgkd"
"365","Usp40"
"366","Gm20528"
"367","Ugt1a9"
"368","Ugt1a7c"
"369","Ugt1a6a"
"370","Ugt1a5"
"371","Dnajb3"
"372","Ugt1a1"
"373","Mroh2a"
"374","Hjurp"
"375","Spp2"
"376","Gm29538"
"377","Arl4c"
"378","1700067G17Rik"
"379","Sh3bp4"
"380","Agap1"
"381","Ackr3"
"382","Gm28723"
"383","Cops8"
"384","Mlph"
"385","Rab17"
"386","Lrrfip1"
"387","Ramp1"
"388","Ube2f"
"389","Scly"
"390","Erfe"
"391","Ilkap"
"392","Hes6"
"393","Per2"
"394","Traf3ip1"
"395","Asb1"
"396","Hdac4"
"397","Ndufa10"
"398","Cops9"
"399","Gpc1"
"400","Dusp28"
"401","5033417F24Rik"
"402","Rnpepl1"
"403","9430060I03Rik"
"404","Capn10"
"405","Gpr35"
"406","Aqp12"
"407","Kif1a"
"408","Agxt"
"409","Mab21l4"
"410","Sned1"
"411","Mterf4"
"412","Gm28535"
"413","Pask"
"414","Ppp1r7"
"415","Ano7"
"416","Hdlbp"
"417","Sept2"
"418","Farp2"
"419","Stk25"
"420","Bok"
"421","Thap4"
"422","Gm10550"
"423","Atg4b"
"424","Dtymk"
"425","Ing5"
"426","D2hgdh"
"427","Gal3st2"
"428","Gal3st2b"
"429","Gal3st2c"
"430","Fam174a"
"431","St8sia4"
"432","Panct2"
"433","D1Ertd622e"
"434","Ppip5k2"
"435","Gin1"
"436","Pam"
"437","B230216N24Rik"
"438","Rnf152"
"439","Gm17634"
"440","Pign"
"441","Gm28404"
"442","Relch"
"443","Tnfrsf11a"
"444","Gm7160"
"445","Zcchc2"
"446","Gm20753"
"447","Phlpp1"
"448","Bcl2"
"449","Kdsr"
"450","Vps4b"
"451","Serpinb5"
"452","Serpinb12"
"453","Dsel"
"454","Tsn"
"455","Nifk"
"456","Clasp1"
"457","2900060B14Rik"
"458","Tfcp2l1"
"459","Inhbb"
"460","Ralb"
"461","Gm27184"
"462","Tmem185b"
"463","Epb41l5"
"464","Ptpn4"
"465","Tmem177"
"466","Tmem37"
"467","Dbi"
"468","3110009E18Rik"
"469","Steap3"
"470","Insig2"
"471","Ccdc93"
"472","Ddx18"
"473","Actr3"
"474","Slc35f5"
"475","Gpr39"
"476","Lypd1"
"477","Nckap5"
"478","Mgat5"
"479","Tmem163"
"480","2900009J06Rik"
"481","Ccnt2"
"482","Rab3gap1"
"483","Zranb3"
"484","R3hdm1"
"485","Ubxn4"
"486","Lct"
"487","Mcm6"
"488","Dars"
"489","Cd55b"
"490","Gm15675"
"491","Cd55"
"492","C4bp"
"493","Pfkfb2"
"494","Yod1"
"495","AA986860"
"496","Gm15848"
"497","Pigr"
"498","Mapkapk2"
"499","Dyrk3"
"500","Eif2d"
"501","Rassf5"
"502","Ikbke"
"503","Srgap2"
"504","Gm29488"
"505","Fam72a"
"506","Avpr1b"
"507","Ctse"
"508","Pm20d1"
"509","Slc41a1"
"510","Rab29"
"511","Nucks1"
"512","Elk4"
"513","Mfsd4a"
"514","Cdk18"
"515","Gm29629"
"516","Klhdc8a"
"517","Nuak2"
"518","Dstyk"
"519","6030442K20Rik"
"520","Rbbp5"
"521","Tmem81"
"522","Nfasc"
"523","Mdm4"
"524","Pik3c2b"
"525","Ppp1r15b"
"526","Plekha6"
"527","Kiss1"
"528","Etnk2"
"529","Sox13"
"530","Snrpe"
"531","Zc3h11a"
"532","Gm38394"
"533","Atp2b4"
"534","Prelp"
"535","Btg2"
"536","Chil1"
"537","Adora1"
"538","Ppfia4"
"539","Tmem183a"
"540","Cyb5r1"
"541","Adipor1"
"542","Klhl12"
"543","Rabif"
"544","Kdm5b"
"545","Syt2"
"546","Ppp1r12b"
"547","Ube2t"
"548","Arl8a"
"549","Gm15445"
"550","Elf3"
"551","Rnpep"
"552","Timm17a"
"553","Shisa4"
"554","Ipo9"
"555","Nav1"
"556","Gm4793"
"557","Csrp1"
"558","Phlda3"
"559","Tnni1"
"560","Lad1"
"561","Tnnt2"
"562","Pkp1"
"563","Tmem9"
"564","Kif21b"
"565","Mroh3"
"566","Inava"
"567","Gm26568"
"568","Camsap2"
"569","9230116N13Rik"
"570","Ddx59"
"571","Kif14"
"572","Zfp281"
"573","Gm19705"
"574","Nr5a2"
"575","Gm4258"
"576","Gm26930"
"577","Ptprc"
"578","Nek7"
"579","2310009B15Rik"
"580","Dennd1b"
"581","Zbtb41"
"582","Aspm"
"583","Cdc73"
"584","B3galt2"
"585","Glrx2"
"586","Ro60"
"587","Uchl5"
"588","Gm29170"
"589","Rgs2"
"590","Rgs13"
"591","Rgs1"
"592","A230059L01Rik"
"593","Pla2g4a"
"594","Odr4"
"595","Tpr"
"596","Prg4"
"597","Gm47985"
"598","Gm10138"
"599","Ivns1abp"
"600","Swt1"
"601","Trmt1l"
"602","Rnf2"
"603","Fam129a"
"604","2810414N06Rik"
"605","Edem3"
"606","1700025G04Rik"
"607","Tsen15"
"608","Rgl1"
"609","Arpc5"
"610","Ncf2"
"611","Smg7"
"612","Gm28791"
"613","Nmnat2"
"614","Lamc2"
"615","Lamc1"
"616","Dhx9"
"617","Npl"
"618","Rgs16"
"619","Rnasel"
"620","Gm28512"
"621","Teddm2"
"622","Glul"
"623","Gm9530"
"624","Ier5"
"625","Stx6"
"626","Xpr1"
"627","Acbd6"
"628","Qsox1"
"629","Cep350"
"630","Tor1aip1"
"631","Tor1aip2"
"632","Gm2000"
"633","Soat1"
"634","Abl2"
"635","Tor3a"
"636","Fam20b"
"637","Ralgps2"
"638","4930439D14Rik"
"639","Rasal2"
"640","Cryzl2"
"641","Sec16b"
"642","Pappa2"
"643","Cop1"
"644","4930523C07Rik"
"645","Mrps14"
"646","Cacybp"
"647","Rabgap1l"
"648","Gm37529"
"649","Gpr52"
"650","Gm37083"
"651","Rc3h1"
"652","Serpinc1"
"653","Zbtb37"
"654","Gas5"
"655","Dars2"
"656","Cenpl"
"657","Klhl20"
"658","Prdx6"
"659","Suco"
"660","Pigc"
"661","Dnm3"
"662","2810442N19Rik"
"663","Eef1aknmt"
"664","Vamp4"
"665","Prrc2c"
"666","Fmo4"
"667","Fmo1"
"668","Fmo2"
"669","Prrx1"
"670","Gorab"
"671","Kifap3"
"672","Scyl3"
"673","BC055324"
"674","Mettl18"
"675","Selp"
"676","F5"
"677","Slc19a2"
"678","Ccdc181"
"679","Blzf1"
"680","Nme7"
"681","Atp1b1"
"682","Gm26685"
"683","Gm36945"
"684","Sft2d2"
"685","Tiprl"
"686","Gm38190"
"687","Dcaf6"
"688","Mpc2"
"689","Mpzl1"
"690","Rcsd1"
"691","Creg1"
"692","Cd247"
"693","Pou2f1"
"694","Gpa33"
"695","Gm15853"
"696","Tada1"
"697","Pogk"
"698","Uck2"
"699","Tmco1"
"700","Aldh9a1"
"701","Mgst3"
"702","Lmx1a"
"703","Pbx1"
"704","Nuf2"
"705","Rgs4"
"706","Hsd17b7"
"707","3110045C21Rik"
"708","Uap1"
"709","Uhmk1"
"710","4930500M09Rik"
"711","Gm7694"
"712","Nos1ap"
"713","Olfml2b"
"714","Atf6"
"715","Gm9929"
"716","Dusp12"
"717","Gm26620"
"718","Fcgr2b"
"719","Gm10522"
"720","Cfap126"
"721","Sdhc"
"722","Mpz"
"723","Pcp4l1"
"724","Nr1i3"
"725","Tomm40l"
"726","Apoa2"
"727","Fcer1g"
"728","Ndufs2"
"729","B4galt3"
"730","Ppox"
"731","Usp21"
"732","Ufc1"
"733","Gm20045"
"734","Dedd"
"735","Nit1"
"736","Pfdn2"
"737","Klhdc9"
"738","Nectin4"
"739","Arhgap30"
"740","Usf1"
"741","Tstd1"
"742","F11r"
"743","B930036N10Rik"
"744","Alyref2"
"745","Itln1"
"746","Cd244a"
"747","Vangl2"
"748","Nhlh1"
"749","Ncstn"
"750","Copa"
"751","Gm37756"
"752","Pex19"
"753","Dcaf8"
"754","Pea15a"
"755","Igsf8"
"756","Pigm"
"757","Slamf9"
"758","Igsf9"
"759","Tagln2"
"760","Cfap45"
"761","4933439K11Rik"
"762","Vsig8"
"763","Dusp23"
"764","Crp"
"765","Mptx2"
"766","Ackr1"
"767","Aim2"
"768","Mndal"
"769","Mptx1"
"770","Olfr414"
"771","Fmn2"
"772","Rgs7"
"773","Fh1"
"774","Opn3"
"775","Chml"
"776","Exo1"
"777","Pld5"
"778","Rbm8a2"
"779","Cep170"
"780","Sdccag8"
"781","Gm26801"
"782","Zbtb18"
"783","Gm29856"
"784","Gm37306"
"785","1700016C15Rik"
"786","Adss"
"787","Catspere2"
"788","Desi2"
"789","4930527J03Rik"
"790","B230369F24Rik"
"791","Cox20"
"792","Hnrnpu"
"793","Efcab2"
"794","Kif26b"
"795","Smyd3"
"796","Tfb2m"
"797","Cnst"
"798","Sccpdh"
"799","Ahctf1"
"800","Cdc42bpa"
"801","Coq8a"
"802","Gm37336"
"803","Psen2"
"804","Gm31728"
"805","Itpkb"
"806","Stum"
"807","Parp1"
"808","Lin9"
"809","Acbd3"
"810","H3f3a"
"811","H3f3aos"
"812","Sde2"
"813","Pycr2"
"814","Lefty1"
"815","Tmem63a"
"816","Ephx1"
"817","Nvl"
"818","Cnih4"
"819","Wdr26"
"820","A430110L20Rik"
"821","Cnih3"
"822","Lbr"
"823","Gm5533"
"824","Enah"
"825","Srp9"
"826","Degs1"
"827","Fbxo28"
"828","Trp53bp2"
"829","Capn2"
"830","Capn8"
"831","Disp1"
"832","Brox"
"833","Aida"
"834","Mia3"
"835","Taf1a"
"836","Gm37986"
"837","Gm33973"
"838","Dusp10"
"839","1700056E22Rik"
"840","Marc1"
"841","Marc2"
"842","C130074G19Rik"
"843","Mark1"
"844","Rab3gap2"
"845","Iars2"
"846","2010103J01Rik"
"847","Bpnt1"
"848","4930532G15Rik"
"849","Eprs"
"850","Slc30a10"
"851","Lyplal1"
"852","Tgfb2"
"853","Rrp15"
"854","A430105J06Rik"
"855","Spata17"
"856","Gpatch2"
"857","Esrrg"
"858","Kctd3"
"859","Cenpf"
"860","Ptpn14"
"861","Gm37422"
"862","Smyd2"
"863","Prox1"
"864","Gm28172"
"865","Prox1os"
"866","Rps6kc1"
"867","Angel2"
"868","Vash2"
"869","Flvcr1"
"870","Tatdn3"
"871","Nsl1"
"872","Fam71a"
"873","Atf3"
"874","D730003I15Rik"
"875","Nenf"
"876","Pacc1"
"877","Ppp2r5a"
"878","Dtl"
"879","Ints7"
"880","Lpgat1"
"881","Gm38037"
"882","Nek2"
"883","1700034H15Rik"
"884","Slc30a1"
"885","Gm26670"
"886","Traf5"
"887","Gm26879"
"888","Rcor3"
"889","Gm10516"
"890","Kcnh1"
"891","Hhat"
"892","Sertad4"
"893","Gm15867"
"894","Syt14"
"895","Utp25"
"896","Irf6"
"897","A130010J15Rik"
"898","Traf3ip3"
"899","Lamb3"
"900","G0s2"
"901","Mir205hg"
"902","Plxna2"
"903","A330023F24Rik"
"904","Cd46"
"905","Cr1l"
"906","Cr2"
"907","Fam171a1"
"908","Nmt2"
"909","Rpp38"
"910","Acbd7"
"911","Dclre1c"
"912","Suv39h2"
"913","Hspa14"
"914","Gm45902"
"915","Cdnf"
"916","Fam107b"
"917","Frmd4a"
"918","Prpf18"
"919","Bend7"
"920","Sephs1"
"921","Phyh"
"922","Ucma"
"923","Mcm10"
"924","Optn"
"925","Ccdc3"
"926","Camk1d"
"927","Cdc123"
"928","Nudt5"
"929","Gm13199"
"930","Sec61a2"
"931","Upf2"
"932","Proser2"
"933","Echdc3"
"934","Usp6nl"
"935","Celf2"
"936","Taf3"
"937","Atp5c1"
"938","Kin"
"939","Itih5"
"940","Prkcq"
"941","Pfkfb3"
"942","Rbm17"
"943","Il15ra"
"944","Fbh1"
"945","Ankrd16"
"946","Mindy3"
"947","Pter"
"948","Rsu1"
"949","Gm13270"
"950","Cubn"
"951","Trdmt1"
"952","Vim"
"953","Hacd1"
"954","Stamos"
"955","Stam"
"956","Tmem236"
"957","Mrc1"
"958","Cacnb2"
"959","Nsun6"
"960","Arl5b"
"961","Malrd1"
"962","Nebl"
"963","1810059C17Rik"
"964","Mllt10"
"965","Dnajc1"
"966","Commd3"
"967","Bmi1"
"968","Spag6"
"969","Gm20539"
"970","Pip4k2a"
"971","Msrb2"
"972","Otud1"
"973","Etl4"
"974","Arhgap21"
"975","Gm13375"
"976","Enkur"
"977","Thnsl1"
"978","Gad2"
"979","Apbb1ip"
"980","Pdss1"
"981","Abi1"
"982","Acbd5"
"983","Mastl"
"984","Yme1l1"
"985","Spopl"
"986","Hnmt"
"987","Il1rn"
"988","Psd4"
"989","Pax8"
"990","Gm13415"
"991","Cacna1b"
"992","Ehmt1"
"993","Arrdc1"
"994","Zmynd19"
"995","Dph7"
"996","Mrpl41"
"997","Pnpla7"
"998","Nsmf"
"999","Entpd8"
"1000","Noxa1"
"1001","Nrarp"
"1002","Gm38287"
"1003","Tor4a"
"1004","Nelfb"
"1005","Fam166a"
"1006","Tubb4b"
"1007","Rnf208"
"1008","Ndor1"
"1009","Tmem203"
"1010","Tprn"
"1011","Ssna1"
"1012","Anapc2"
"1013","Lrrc26"
"1014","Grin1os"
"1015","Man1b1"
"1016","Dpp7"
"1017","Uap1l1"
"1018","Sapcd2"
"1019","Entpd2"
"1020","Npdc1"
"1021","Abca2"
"1022","Paxx"
"1023","Clic3"
"1024","Ptgds"
"1025","C8g"
"1026","Fbxw5"
"1027","Traf2"
"1028","Edf1"
"1029","Mamdc4"
"1030","Phpt1"
"1031","Rabl6"
"1032","Fcnaos"
"1033","Tmem141"
"1034","Fcna"
"1035","Bmyc"
"1036","Kcnt1"
"1037","Camsap1"
"1038","Ubac1"
"1039","Nacc2"
"1040","Tmem250-ps"
"1041","Qsox2"
"1042","Gpsm1"
"1043","Dnlz"
"1044","Card9"
"1045","Snapc4"
"1046","Entr1"
"1047","Pmpca"
"1048","Inpp5e"
"1049","Sec16a"
"1050","0610009E02Rik"
"1051","Notch1"
"1052","Egfl7"
"1053","Agpat2"
"1054","Dipk1b"
"1055","Snhg7os"
"1056","Surf6"
"1057","Med22"
"1058","Rpl7a"
"1059","Surf1"
"1060","Surf2"
"1061","Surf4"
"1062","Rexo4"
"1063","Cacfd1"
"1064","Sardh"
"1065","Vav2"
"1066","Brd3os"
"1067","Brd3"
"1068","Wdr5"
"1069","Gm13421"
"1070","Rxra"
"1071","Olfm1"
"1072","Gm13373"
"1073","Ppp1r26"
"1074","1700007K13Rik"
"1075","Mrps2"
"1076","Gm10134"
"1077","Ralgds"
"1078","Gtf3c5"
"1079","Gfi1b"
"1080","Tsc1"
"1081","Spaca9"
"1082","Gtf3c4"
"1083","Ddx31"
"1084","Cfap77"
"1085","Ttf1"
"1086","Setx"
"1087","Med27"
"1088","Rapgef1"
"1089","Gm13420"
"1090","Trub2"
"1091","Coq4"
"1092","Slc27a4"
"1093","Urm1"
"1094","Odf2"
"1095","Gle1"
"1096","Sptan1"
"1097","Wdr34"
"1098","Set"
"1099","Pkn3"
"1100","Zdhhc12"
"1101","Zer1"
"1102","Tbc1d13"
"1103","Endog"
"1104","Spout1"
"1105","Kyat1"
"1106","1700084E18Rik"
"1107","Lrrc8a"
"1108","Phyhd1"
"1109","Dolk"
"1110","Nup188"
"1111","Sh3glb2"
"1112","Miga2"
"1113","Dolpp1"
"1114","Crat"
"1115","Ptpa"
"1116","Ier5l"
"1117","Gm14488"
"1118","1700001O22Rik"
"1119","Ntmt1"
"1120","Asb6"
"1121","Tor1b"
"1122","Tor1a"
"1123","BC005624"
"1124","Usp20"
"1125","Fnbp1"
"1126","D330023K18Rik"
"1127","Gpr107"
"1128","Ncs1"
"1129","Ass1"
"1130","Fubp3"
"1131","Exosc2"
"1132","Abl1"
"1133","Aif1l"
"1134","Nup214"
"1135","Fam78a"
"1136","Plpp7"
"1137","Prrc2b"
"1138","Gm13610"
"1139","Pomt1"
"1140","Uck1"
"1141","Swi5"
"1142","Golga2"
"1143","Dnm1"
"1144","Ciz1"
"1145","1110008P14Rik"
"1146","Lcn2"
"1147","Ptges2"
"1148","Slc25a25"
"1149","Naif1"
"1150","Gm13412"
"1151","Fam102a"
"1152","Dpm2"
"1153","Pip5kl1"
"1154","St6galnac4"
"1155","St6galnac6"
"1156","Ak1"
"1157","Fpgs"
"1158","Cdk9"
"1159","Sh2d3c"
"1160","Ttc16"
"1161","Tor2a"
"1162","Ptrh1"
"1163","Stxbp1"
"1164","Fam129b"
"1165","Lrsam1"
"1166","Rpl12"
"1167","Slc2a8"
"1168","Ralgps1"
"1169","Zbtb34"
"1170","Zbtb43"
"1171","Lmx1b"
"1172","C130021I20Rik"
"1173","Mvb12b"
"1174","Pbx3"
"1175","Mapkap1"
"1176","Gapvd1"
"1177","Hspa5"
"1178","Rabepk"
"1179","Fbxw2"
"1180","Gm34653"
"1181","Psmd5"
"1182","Cutal"
"1183","Phf19"
"1184","Traf1"
"1185","Hc"
"1186","Cntrl"
"1187","Rab14"
"1188","Gsn"
"1189","Stom"
"1190","Dab2ip"
"1191","Ttll11"
"1192","9030204H09Rik"
"1193","Ndufa8"
"1194","Rbm18"
"1195","Mrrf"
"1196","Gm13431"
"1197","Ptgs1"
"1198","Pdcl"
"1199","Rc3h2"
"1200","Zbtb6"
"1201","Zbtb26"
"1202","Rabgap1"
"1203","Strbp"
"1204","Gpr21"
"1205","Crb2"
"1206","Dennd1a"
"1207","Nek6"
"1208","Psmb7"
"1209","Nr6a1"
"1210","Nr6a1os"
"1211","Olfml2a"
"1212","Gm13496"
"1213","Wdr38"
"1214","Rpl35"
"1215","Arpc5l"
"1216","Golga1"
"1217","Scai"
"1218","Ppp6c"
"1219","Kynu"
"1220","Gtdc1"
"1221","Zeb2"
"1222","Acvr2a"
"1223","Orc4"
"1224","Mbd5"
"1225","Epc2"
"1226","Kif5c"
"1227","Lypd6b"
"1228","Lypd6"
"1229","Mmadhc"
"1230","Rnd3"
"1231","Rbm43"
"1232","Nmi"
"1233","Rif1"
"1234","Arl5a"
"1235","A430018G15Rik"
"1236","Stam2"
"1237","Fmnl2"
"1238","Prpf40a"
"1239","Arl6ip6"
"1240","Rprm"
"1241","Kcnj3"
"1242","Nr4a2"
"1243","BB557941"
"1244","A930012O16Rik"
"1245","Gpd2"
"1246","Galnt5"
"1247","Cytip"
"1248","Acvr1c"
"1249","Acvr1"
"1250","Upp2"
"1251","Ccdc148"
"1252","Pkp4"
"1253","Tanc1"
"1254","Wdsub1"
"1255","Baz2b"
"1256","Gm13572"
"1257","Gm13620"
"1258","March7"
"1259","Cd302"
"1260","Ly75"
"1261","Itgb6"
"1262","Rbms1"
"1263","Tank"
"1264","Psmd14"
"1265","Dpp4"
"1266","Gm13565"
"1267","Gcg"
"1268","Fap"
"1269","Ifih1"
"1270","Gca"
"1271","Kcnh7"
"1272","Grb14"
"1273","Cobll1"
"1274","Gm13594"
"1275","Slc38a11"
"1276","Scn3a"
"1277","Galnt3"
"1278","Ttc21b"
"1279","Stk39"
"1280","Gm13596"
"1281","Cers6"
"1282","Nostrin"
"1283","Spc25"
"1284","Dhrs9"
"1285","Bbs5"
"1286","Klhl41"
"1287","Fastkd1"
"1288","Ppig"
"1289","Ccdc173"
"1290","Phospho2"
"1291","Klhl23"
"1292","Ssb"
"1293","Mettl5"
"1294","Gm13625"
"1295","Mettl5os"
"1296","Ubr3"
"1297","Sp5"
"1298","Gad1os"
"1299","Erich2os"
"1300","Erich2"
"1301","Gad1"
"1302","Gm26558"
"1303","Gorasp2"
"1304","Tlk1"
"1305","Mettl8"
"1306","Dcaf17"
"1307","Cybrd1"
"1308","Dync1i2"
"1309","Slc25a12"
"1310","Hat1"
"1311","Metap1d"
"1312","Platr26"
"1313","Itga6"
"1314","Gm13663"
"1315","Pdk1"
"1316","Rapgef4"
"1317","Map3k20"
"1318","Cdca7"
"1319","6430710C18Rik"
"1320","Sp3"
"1321","Sp3os"
"1322","Ola1"
"1323","Sp9"
"1324","Cir1"
"1325","Scrn3"
"1326","Gpr155"
"1327","D230022J07Rik"
"1328","Wipf1"
"1329","Chrna1os"
"1330","Chn1"
"1331","Atf2"
"1332","Atp5g3"
"1333","Lnpk"
"1334","Hoxd4"
"1335","Mtx2"
"1336","2600014E21Rik"
"1337","Hnrnpa3"
"1338","Nfe2l2"
"1339","E030042O20Rik"
"1340","Gm13657"
"1341","Agps"
"1342","Ttc30b"
"1343","Ttc30a1"
