Setdb1KO	Lgr5Cre
127.592362433743	124.275341615955
227.906634168323	233.106494754177
173.089369717763	161.34784137156
454.242496973106	351.377850255288
370.209706192671	266.603221560101
599.919027142177	447.27611492403
374.881234453524	313.774873123391
957.028944320931	850.149441450584
237.161813640903	209.797411272597
483.239155433681	371.43225025298
791.554002932042	634.070376627085
210.2786035794	182.871163297142
163.264554064648	145.659978602487
335.357667587641	249.418588147207
257.776219846863	227.73094110046
680.967055375536	495.457603689532
327.587328039286	283.551890657631
426.510064091882	423.505494562091
414.958910186633	357.159670981488
66.3168942156968	53.0774846478965
673.015410768254	436.12148036165
503.880412132542	476.587153221938
373.506524240143	351.969552547778
142.374640786409	132.934634467712
174.335503661642	159.880124744504
406.038984331427	354.011613948616
234.684493027247	222.277724630762
496.546543324038	519.230791479223
1004.23868263244	997.120263768448
1161.03204675642	149.478860269165
164.572376326556	200.029572055704
225.371140578131	318.006067394758
372.809253230699	319.750691003593
390.613128401442	175.270028889498
227.111406025471	1347.65261454024
608.57211195027	519.053739885462
862.809198165917	782.985578059925
573.708889572365	437.449340246616
490.83573015981	413.232289658485
915.830383174358	821.875484850239
286.009597689011	997.120263768448
211.833985374232	289.071530362227
269.088426508606	192.021357601436
979.793508855473	224.800921088091
356.481303489802	1274.60230528262
350.30589473534	315.362743013499
550.545665868681	321.116940108986
610.280333122494	427.387780072134
329.379658534124	378.438847590866
378.877275027833	308.705531275417
600.780245054223	323.694582080496
673.015410768254	403.458546433328
689.198957482673	505.589110408199
437.085957688269	545.639074329415
75.7685034069662	401.19249912155
326.950969800596	1000.94968699227
413.27224220671	68.360226070872
657.89154104442	304.543175732145
335.760264063499	354.812394054309
242.053469890502	1148.09432716965
466.170278398278	553.979305113077
438.042334723566	293.044895770858
526.004954896936	202.18708184456
303.219619945939	342.353913714971
99.7593957834698	366.645490153411
184.794166083409	516.78284810723
145.171707617835	273.476992583615
542.240730750385	96.9861592043637
216.164841324103	171.904729461204
1090.0599383391	127.201986330093
74.7864713908061	447.27611492403
1299.03637189091	194.620877680925
430.439052285749	687.71356115143
357.357932551947	67.3619411188046
314.310136561845	977.703735647335
1004.23868263244	364.911342806897
1299.03637189091	268.28777934949
1123.88629012031	251.197188509343
166.794000243939	794.878711910844
748.018190868576	977.703735647335
706.572861667648	1186.02793827638
235.275637437811	148.841662720019
536.269185351956	712.943256856381
467.384361584065	594.268079127986
347.813885627794	211.779152456865
320.652265992957	485.83680872702
688.471594648439	411.526560492364
791.554002932042	293.949458161284
598.879352752195	271.868772246715
297.034498012078	672.273689669397
498.887908457392	617.771985029182
1475.97696819437	528.594470243186
303.18237049709	270.663514172502
475.56649440124	501.092054303465
239.080310499781	229.428065770263
491.402714831018	360.051809743378
1202.07963005594	191.857211691454
680.279637526891	426.32772862001
709.237218409632	1227.94656601689
307.862082579477	479.256237350825
593.404168074767	522.625616420663
588.070520847112	295.619932695156
291.808808689001	629.733481209522
377.978365782796	529.439036194717
216.507367756667	292.852184256982
680.279637526891	345.388088628306
559.484032708914	185.673154934588
540.343538248692	617.771985029182
140.862870242901	458.893859050801
456.574610971145	472.456660476827
93.2735746560617	1186.02793827638
81.4700891247383	118.06179526121
187.68637845828	397.157774006735
1247.76541902657	78.1733511238186
594.401087509328	71.2362712066352
1340.88914076811	170.602844727391
735.211370523178	1274.60230528262
267.598777143895	537.065918005061
877.188440271116	1227.94656601689
125.923012890055	1140.93118789275
294.46954085791	590.519204003513
265.235998622961	224.53671492452
353.278217899355	784.216442204002
403.755190407479	111.470927047553
1090.0599383391	235.137027719342
643.188299183364	248.711446817579
120.2656586444	361.109923465483
467.718922769899	392.709664070295
285.143085304911	977.703735647335
832.111199628379	539.636045853373
512.489375478068	111.833341161693
529.287162444902	401.950189906186
633.057759794615	247.692252609178
611.413594507218	728.115547803075
125.964423996313	469.651570570193
158.440730243996	581.381923545036
636.451221455039	695.831477973122
459.132817337537	1113.55088198151
280.234848127673	579.277401333574
906.324366877161	109.475363852909
391.676626955973	140.875917666468
507.78464847794	498.993767697848
1004.23868263244	364.909618823417
605.984652625295	258.013946898734
415.963977854074	865.403968871496
399.497539853688	329.167129475089
766.331356918847	439.033060690565
802.918700443211	1113.55088198151
240.217394384691	423.505494562091
73.276302916764	363.977764927269
308.1681326783	1227.94656601689
689.198957482673	315.330288032556
363.086037800285	712.943256856381
756.303660175743	768.603606792514
755.178597858061	203.37844029986
1161.03204675642	56.5552594216922
481.058589422709	249.636420125385
335.099608657017	534.997122984753
715.753382320269	319.63533154507
324.567493453777	693.254648566235
622.329780254976	760.68264042493
235.603194531774	1186.02793827638
309.608132253952	409.704997328005
121.359632880578	292.825792743445
180.729358557057	529.439036194717
657.306993955248	266.01797992243
