"x"
"229"	"Pnkd"
"230"	"Tmbim1"
"231"	"Gm29358"
"232"	"Ctdsp1"
"233"	"Vil1"
"234"	"Usp37"
"235"	"Cnot9"
"236"	"Plcd4"
"237"	"Zfp142"
"238"	"Bcs1l"
"239"	"Rnf25"
"240"	"Ttll4"
"241"	"Cyp27a1"
"242"	"Wnt6"
"243"	"Fev"
"244"	"Cryba2"
"245"	"Ihh"
"246"	"Nhej1"
"247"	"Slc23a3"
"248"	"Cnppd1"
"249"	"Retreg2"
"250"	"Zfand2b"
"251"	"Abcb6"
"252"	"Atg9a"
"253"	"Ankzf1"
"254"	"Glb1l"
"255"	"Stk16"
"256"	"Tuba4a"
"257"	"Dnajb2"
"258"	"Ptprn"
"259"	"Resp18"
"260"	"Dnpep"
"261"	"Gmppa"
"262"	"Chpf"
"263"	"Stk11ip"
"264"	"Epha4"
"265"	"Sgpp2"
"266"	"Gm28410"
"267"	"Farsb"
"268"	"5730419F03Rik"
"269"	"Acsl3"
"270"	"Utp14b"
"271"	"Scg2"
"272"	"Ap1s3"
"273"	"Wdfy1"
"274"	"Mrpl44"
"275"	"Cul3"
"276"	"Rhbdd1"
"277"	"Gm28940"
"278"	"Col4a4"
"279"	"C430014B12Rik"
"280"	"Mff"
"281"	"Gm28941"
"282"	"Tm4sf20"
"283"	"Agfg1"
"284"	"A030005L19Rik"
"285"	"Slc19a3"
"286"	"Ccl20"
"287"	"Sphkap"
"288"	"Dner"
"289"	"Trip12"
"290"	"Fbxo36"
"291"	"Sp110"
"292"	"Sp140"
"293"	"Sp100"
"294"	"Cab39"
"295"	"Itm2c"
"296"	"Gm28884"
"297"	"Gpr55"
"298"	"2810459M11Rik"
"299"	"Psmd1"
"300"	"Htr2b"
"301"	"Armc9"
"302"	"B3gnt7"
"303"	"Ncl"
"304"	"C130036L24Rik"
"305"	"Ptma"
"306"	"Pde6d"
"307"	"Cops7b"
"308"	"Dis3l2"
"309"	"Gm29055"
"310"	"Alppl2"
"311"	"Alpi"
"312"	"Akp3"
